name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
STIRIPENTOL,CHEMBL1983350,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,-4.543204798649369,0.284562477784943,c1ccc2c(c1)OCO2
ORNIDAZOLE,CHEMBL1449676,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,-4.5419733835069405,0.2297780257998337,c1c[nH]cn1
PYRIDOXINE HYDROCHLORIDE,CHEMBL1200756,Cc1ncc(CO)c(CO)c1O.Cl,-4.537850545114732,0.2098861933878782,c1ccncc1
PINACIDIL,CHEMBL1200338,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O,-4.533493176879834,0.2473411612602042,c1ccncc1
NITROFURANTOIN SODIUM,CHEMBL1201000,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],-4.519876720052829,0.2943953008128679,O=C1CN(/N=C/c2ccco2)C(=O)[N-]1
CYCLOPHOSPHAMIDE,CHEMBL1200796,O.O=P1(N(CCCl)CCCl)NCCCO1,-4.514295045691191,0.2994470067033665,O=[PH]1NCCCO1
PARALDEHYDE,CHEMBL1410743,CC1OC(C)OC(C)O1,-4.510689534941578,0.1910326674722311,C1OCOCO1
TRICLOFOS SODIUM,CHEMBL1200789,O=P([O-])(O)OCC(Cl)(Cl)Cl.[Na+],-4.508349409324493,0.2432536549867412,
DIPHENHYDRAMINE HYDROCHLORIDE,CHEMBL1620,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,-4.496610926129649,0.2829803196398832,c1ccc(Cc2ccccc2)cc1
FLURBIPROFEN SODIUM,CHEMBL3989754,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+],-4.496450126195999,0.2599351047579856,c1ccc(-c2ccccc2)cc1
ISAXONINE PHOSPHATE,CHEMBL1697751,CC(C)Nc1ncccn1.O=P(O)(O)O,-4.480626438687287,0.2004575504601443,c1cncnc1
METHAPYRILENE HYDROCHLORIDE,CHEMBL1255739,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,-4.475742958206509,0.2578663593713093,c1ccc(NCc2cccs2)nc1
HEXYLCAINE HYDROCHLORIDE,CHEMBL1200715,CC(CNC1CCCCC1)OC(=O)c1ccccc1.Cl,-4.452319237577421,0.2744284740101911,O=C(OCCNC1CCCCC1)c1ccccc1
RITODRINE HYDROCHLORIDE,CHEMBL1367605,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,-4.445429833299103,0.1765480895949014,c1ccc(CCNCCc2ccccc2)cc1
PHENYTOIN,CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.432207782832929,0.4093791142350275,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
SUPROFEN,CHEMBL956,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,-4.429375772384039,0.3239430328063704,O=C(c1ccccc1)c1cccs1
METHOHEXITAL SODIUM,CHEMBL30219,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],-4.418121571871734,0.2212140947737568,O=C1CC(=O)NC=N1
ARBUTAMINE,CHEMBL1201251,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,-4.40052457049647,0.2457763748278262,c1ccc(CCCCNCCc2ccccc2)cc1
ZOLEDRONIC ACID,CHEMBL4303669,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-4.36300010055048,0.2410160100677016,c1c[nH]cn1
