name,smiles,mw,logp
LEVOBUNOLOL,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,291.391,2.3334
PIFOXIME,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,276.3359999999999,2.2761000000000005
DEXRAZOXANE,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,268.27299999999997,-2.708299999999996
MIGALASTAT,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,163.173,-2.9667999999999988
PITOLISANT,Clc1ccc(CCCOCCCN2CCCCC2)cc1,295.8539999999999,4.165200000000003
TRIMETAZIDINE,COc1ccc(CN2CCNCC2)c(OC)c1OC,266.34099999999995,1.1176
TIZANIDINE,Clc1ccc2nsnc2c1NC1=NCCN1,253.718,1.7157999999999993
NAPHAZOLINE,c1ccc2c(CC3=NCCN3)cccc2c1,210.28000000000003,2.3840000000000003
ROPIVACAINE,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,274.408,3.5064400000000013
PRAMOXINE,CCCCOc1ccc(OCCCN2CCOCC2)cc1,293.4069999999999,2.9666000000000015
GUANETHIDINE MONOSULFATE,N=C(N)NCCN1CCCCCCC1,198.31399999999994,0.7355699999999996
ACORAMIDIS,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,292.31,2.875440000000001
DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.356,4.828600000000005
ARTICAINE,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,284.38100000000003,2.16972
IMIPENEM ANHYDROUS,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,299.35200000000003,-0.17602999999999924
ETHINAMATE,C#CC1(OC(N)=O)CCCCC1,167.20799999999997,1.4178000000000002
TETRAHYDROZOLINE,c1ccc2c(c1)CCCC2C1=NCCN1,200.285,2.1082
XYLOMETAZOLINE,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,244.38199999999995,3.1451400000000014
MEPTAZINOL,CCC1(c2cccc(O)c2)CCCCN(C)C1,233.3549999999999,3.1557000000000013
MEPIVACAINE,Cc1cccc(C)c1NC(=O)C1CCCCN1C,246.35399999999996,2.7262400000000007
TRANYLCYPROMINE,N[C@@H]1C[C@H]1c1ccccc1,133.194,1.5011999999999999
GLUCOSAMINE,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,179.17200000000003,-3.2549999999999994
