name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
ACIPIMOX,-6.223,-0.5037012386661996,L5_Weak,Other,chembl_ml_screen,3.0,c1c[nH+]ccn1
QUINETHAZONE,-6.222,-0.5029844469192264,L5_Weak,Other,chembl_ml_screen,3.0,O=C1NCNc2ccccc21
PIRFENIDONE,-6.217,-0.49940048818435734,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ccccn1-c1ccccc1
EDARAVONE,-6.209,-0.49366615420856785,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CC=NN1c1ccccc1
STAVUDINE,-6.198,-0.48578144499185777,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ccn([C@H]2C=CCO2)c(=O)[nH]1
ETHOSUXIMIDE,-6.196,-0.4843478614979099,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCC(=O)N1
HYDROCHLOROTHIAZIDE,-6.152,-0.45280902463106787,L5_Weak,Other,chembl_ml_screen,3.0,O=S1(=O)NCNc2ccccc21
OXYBENZONE,-6.144,-0.44707469065527833,L5_Weak,Other,chembl_ml_screen,3.0,O=C(c1ccccc1)c1ccccc1
MEPERIDINE,-6.141,-0.44492431541435723,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(C2CCNCC2)cc1
LEVOMILNACIPRAN,-6.131,-0.43775639794462046,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(C2CC2)cc1
TOLAZOLINE,-6.127,-0.4348892309567254,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CC2=NCCN2)cc1
TRANEXAMIC ACID,-6.112,-0.4241373547521203,L5_Weak,Carboxylic_acid,chembl_ml_screen,3.0,C1CCCCC1
VILOXAZINE,-6.112,-0.4241373547521203,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(OCC2CNCCO2)cc1
SULFALENE,-6.106,-0.41983660427027797,L5_Weak,Other,chembl_ml_screen,3.0,O=S(=O)(Nc1cnccn1)c1ccccc1
ETHOXZOLAMIDE,-6.099,-0.41481906204146235,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2scnc2c1
NEPAFENAC,-6.09,-0.4083679363186989,L5_Weak,Other,chembl_ml_screen,3.0,O=C(c1ccccc1)c1ccccc1
PRONETALOL,-6.077,-0.399049643608041,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2ccccc2c1
