name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
LIDOCAINE,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,-4.713108268620053,0.2931400503633948
METHACHOLINE,CHEMBL978,CC(=O)OC(C)C[N+](C)(C)C,-4.696614854356695,0.2447949924372773
MEPROBAMATE,CHEMBL979,CCCC(C)(COC(N)=O)COC(N)=O,-4.696202211954066,0.2316375843996983
METHOCARBAMOL,CHEMBL1201117,COc1ccccc1OCC(O)COC(N)=O,-4.6941986197557855,0.3015566497520288
ACETARSONE,CHEMBL1330792,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,-4.693746356554942,0.3038037282108538
SUXAMETHONIUM,CHEMBL703,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,-4.6834830914753445,0.2441109714131597
AGOMELATINE,CHEMBL10878,COc1ccc2cccc(CCNC(C)=O)c2c1,-4.6784705894789615,0.2949772919070466
ATENOLOL,CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-4.675262455653294,0.2373085044374492
CHLORAMBUCIL,CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-4.670553427516325,0.3680261694073981
CHLORPROPAMIDE,CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-4.664604538784758,0.2704466336964251
PHENACETIN,CHEMBL16073,CCOc1ccc(NC(C)=O)cc1,-4.6623443136001566,0.261284809519155
NABUMETONE,CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1,-4.659362168164243,0.2564018574529405
VABORBACTAM,CHEMBL3317857,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,-4.643148845216001,0.3326330823127192
METHARBITAL,CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-4.640073326465757,0.2681543051809219
BUPROPION,CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-4.6334514081659695,0.2789390652912292
MIDODRINE,CHEMBL1201212,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-4.6326805178669135,0.2750321979019096
CITRIC ACID,CHEMBL1261,O=C(O)CC(O)(CC(=O)O)C(=O)O,-4.63263364372858,0.2898615359454491
MEBUTAMATE,CHEMBL1200922,CCC(C)C(C)(COC(N)=O)COC(N)=O,-4.6150946107074615,0.2306793469861026
TERIFLUNOMIDE,CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,-4.60371511005482,0.3306612187027579
DEXPANTHENOL,CHEMBL1200979,CC(C)(CO)[C@@H](O)C(=O)NCCCO,-4.590118188900831,0.2325232013640148
ETHACRYNIC ACID,CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,-4.588745420128724,0.3902302509422324
METHOHEXITAL,CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,-4.577964665430065,0.2601741428860104
CLOFIBRATE,CHEMBL565,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,-4.500280657782831,0.2664024223506009
CARISOPRODOL,CHEMBL1233,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,-4.4965588978801,0.2180962927765511
CHLOROPROCAINE,CHEMBL1179047,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,-4.476557801395679,0.3070214303714468
FOSLEVODOPA,CHEMBL4594379,N[C@@H](Cc1ccc(OP(=O)(O)O)c(O)c1)C(=O)O,-4.47641074983407,0.4504619167006565
CLOFOREX,CHEMBL1697686,CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,-4.460551909340751,0.2770549736948055
ETIDOCAINE,CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,-4.438323810106418,0.2849406595253826
ESMOLOL,CHEMBL768,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,-4.4326182115514,0.2077980546747422
CARBIDOPA ANHYDROUS,CHEMBL1201236,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,-4.427648637098679,0.3119213906078621
SULFACARBAMIDE,CHEMBL139877,NC(=O)NS(=O)(=O)c1ccc(N)cc1,-4.425015677050713,0.271174048309431
IPRONIAZID,CHEMBL92401,CC(C)NNC(=O)c1ccncc1,-4.393877192607205,0.2440205021933602
TETRACAINE,CHEMBL698,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,-4.36101517882278,0.2809248200101792
SULFACETAMIDE,CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-4.359825360811831,0.2445011751232271
CAPSAICIN,CHEMBL294199,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,-4.351247137150565,0.2786630375289094
TOLBUTAMIDE,CHEMBL782,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-4.349732569632596,0.2900310074278068
METHYLDOPATE,CHEMBL1201233,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,-4.348552353427548,0.2679388836110998
BUTAMBEN,CHEMBL127516,CCCCOC(=O)c1ccc(N)cc1,-4.34012398403336,0.2578796118571428
GEMFIBROZIL,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-4.312256537736901,0.4580631318777968
NICORANDIL,CHEMBL284906,O=C(NCCO[N+](=O)[O-])c1cccnc1,-4.3051649571331,0.2480933441718601
MOXISYLYTE,CHEMBL159226,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,-4.302999394442789,0.3051145489751297
LODOXAMIDE,CHEMBL1201266,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,-4.231338760159384,0.3257013345349812
PROBENECID,CHEMBL897,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,-4.228690631523433,0.2900369509066735
