name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
SUCCIMER,CHEMBL1201073,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,-5.049020445430082,0.27238511513263286
DEXTROAMPHETAMINE,CHEMBL612,C[C@H](N)Cc1ccccc1,-5.037584423975478,0.3257148129907448
LEVAMFETAMINE,CHEMBL19393,C[C@@H](N)Cc1ccccc1,-5.037584423975478,0.3257148129907448
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,-5.037584423975478,0.3257148129907448
DICLOFENAC POTASSIUM,CHEMBL1200804,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],-5.037143694007559,0.45734919550132563
PYRITHIONE,CHEMBL1356238,[O-][n+]1ccccc1S,-5.034211214243075,0.2968292667028799
METHYL SALICYLATE,CHEMBL108545,COC(=O)c1ccccc1O,-5.029467288434228,0.32389882243994744
FLUOROURACIL,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,-5.028500748024873,0.31142382269230945
MECLOFENAMIC ACID,CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,-5.023106848000367,0.5843957133712482
HISTAMINE DIHYDROCHLORIDE,CHEMBL1533310,Cl.Cl.NCCc1c[nH]cn1,-5.022809071473018,0.28783647918136823
PARGYLINE HYDROCHLORIDE,CHEMBL1200425,C#CCN(C)Cc1ccccc1.Cl,-5.022755531431557,0.30030742364799773
BENZYL BENZOATE,CHEMBL1239,O=C(OCc1ccccc1)c1ccccc1,-5.021698888216225,0.37834000321617156
PARGYLINE,CHEMBL673,C#CCN(C)Cc1ccccc1,-5.0213197536537795,0.2888730591080898
PIRACETAM,CHEMBL36715,NC(=O)CN1CCCC1=O,-5.018339570409005,0.2691746703669949
METHAMPHETAMINE HYDROCHLORIDE,CHEMBL1200952,CN[C@@H](C)Cc1ccccc1.Cl,-5.012711014585368,0.309266928281793
METHAMPHETAMINE,CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,-5.011870653474257,0.2979237668065966
RUFINAMIDE,CHEMBL1201754,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,-5.010840976031369,0.3756540189509341
PRALIDOXIME,CHEMBL1420,C[n+]1ccccc1C=NO,-5.008625335657574,0.2515799928607015
SODIUM BENZOATE,CHEMBL1356,O=C([O-])c1ccccc1.[Na+],-5.005537336780645,0.30526242674125176
OZAGREL,CHEMBL11662,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,-5.005469895229698,0.3645193474982746
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,-5.003789916284083,0.5139411362783628
CHOLINE SALICYLATE,CHEMBL2104095,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O,-5.002036774901957,0.3206800697600577
BETAZOLE HYDROCHLORIDE,CHEMBL1200949,Cl.NCCc1cc[nH]n1,-5.000276745239566,0.28924080349785036
PRALIDOXIME CHLORIDE,CHEMBL748,C[n+]1ccccc1/C=N/O.[Cl-],-4.998468712647223,0.2635584588919958
