name,best_affinity,all_affinities
"(11S)-11-methyl-2,4-diazaspiro[5.5]undec-9-en",-8.307,"[-8.307, -6.733, -6.582, -6.321, -6.231, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-[(E)-hex-3-en-3-yl]-1,3-diazinane-2",-8.297,"[-8.297, -7.956, -7.929, -7.604, -7.32, 0.0, 1.0, 10.0, 16.0]"
"(11R)-11-methyl-2,4-diazaspiro[5.5]undec-8-en",-8.294,"[-8.294, -6.755, -6.641, -6.398, -6.244, 0.0, 1.0, 10.0, 16.0]"
"(5S)-5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-dia",-8.281,"[-8.281, -7.852, -7.744, -7.593, -7.25, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2,2,2-trifluoroethyl)-1,3-diazinan",-8.279,"[-8.279, -7.783, -7.721, -7.709, -7.633, 0.0, 1.0, 10.0, 16.0]"
"5-[(2-fluorophenyl)methyl]-1,3-diazinane-2,4,",-8.272,"[-8.272, -7.734, -7.005, -6.85, -5.267, 0.0, 1.0, 10.0, 16.0]"
"5-benzyl-5-butyl-1,3-diazinane-2,4,6-trione",-8.271,"[-8.271, -7.743, -7.547, -7.367, -7.241, 0.0, 1.0, 10.0, 16.0]"
"(11R)-11-methyl-2,4-diazaspiro[5.5]undec-9-en",-8.267,"[-8.267, -6.77, -6.635, -6.381, -6.24, 0.0, 1.0, 10.0, 16.0]"
"11-methyl-2,4-diazaspiro[5.5]undec-8-ene-1,3,",-8.264,"[-8.264, -7.781, -7.536, -7.523, -7.111, 0.0, 1.0, 10.0, 16.0]"
"11-methyl-2,4-diazaspiro[5.5]undec-9-ene-1,3,",-8.261,"[-8.261, -7.77, -7.507, -7.43, -7.042, 0.0, 1.0, 10.0, 16.0]"
N-carbamoyl-3-phenylbutanamide,-8.256,"[-8.256, -6.894, -6.446, -6.212, -6.003, 0.0, 1.0, 10.0, 16.0]"
"5-(4-fluorophenyl)-5-prop-2-enyl-1,3-diazinan",-8.213,"[-8.213, -7.08, -6.598, -6.318, -6.058, 0.0, 1.0, 10.0, 16.0]"
"9-(cyclohex-3-en-1-ylmethyl)-7,9-diazaspiro[4",-8.185,"[-8.185, -6.266, -6.01, -5.393, -4.645, 0.0, 1.0, 10.0, 16.0]"
"5-benzyl-1,3-diazinane-2,4,6-trione",-8.166,"[-8.166, -8.099, -7.098, -6.892, -6.888, 0.0, 1.0, 10.0, 16.0]"
"3-[2-(trifluoromethyl)phenyl]piperidine-2,6-d",-8.157,"[-8.157, -7.908, -7.877, -7.811, -7.259, 0.0, 1.0, 10.0, 16.0]"
"5-butyl-5-phenyl-1,3-diazinane-2,4,6-trione",-8.14,"[-8.14, -8.011, -7.615, -6.021, -5.878, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-[4-(4-fluorophenyl)-4-oxobutyl]-1,3",-8.133,"[-8.133, -6.872, -5.696, -5.304, -5.252, 0.0, 1.0, 10.0, 16.0]"
"5-cyclopent-2-en-1-yl-5-ethyl-1-methyl-1,3-di",-8.115,"[-8.115, -7.275, -6.923, -6.676, -6.628, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1-methyl-1,3-diazinane-2,",-8.087,"[-8.087, -7.465, -7.433, -7.382, -7.185, 0.0, 1.0, 10.0, 16.0]"
N-acetyl-2-(4-fluorophenyl)acetamide,-8.078,"[-8.078, -7.423, -7.181, -7.039, -6.912, 0.0, 1.0, 10.0, 16.0]"
3-[3-(2-fluorophenyl)-2-oxopropyl]piperidine-,-8.064,"[-8.064, -7.533, -6.159, -5.889, -5.825, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1,3,5-trimethyl-1,3-diazi",-8.051,"[-8.051, -7.931, -6.971, -6.331, -5.72, 0.0, 1.0, 10.0, 16.0]"
"N-acetyl-5-methyl-2,6-dioxo-4-phenyl-4-(trifl",-8.048,"[-8.048, -5.186, -4.23, -2.789, -2.738, 0.0, 1.0, 10.0, 16.0]"
"3-ethyl-1-methyl-3-phenylpiperidine-2,6-dione",-8.015,"[-8.015, -7.197, -6.964, -6.833, -6.624, 0.0, 1.0, 10.0, 16.0]"
4-(3-fluorophenyl)piperidine-4-carboxamide,-8.008,"[-8.008, -7.616, -7.603, -7.208, -6.776, 0.0, 1.0, 10.0, 16.0]"
"1,5-dimethyl-5-(3-oxocyclohexen-1-yl)-1,3-dia",-8.001,"[-8.001, -7.484, -7.194, -6.749, -6.601, 0.0, 1.0, 10.0, 16.0]"
"5-propan-2-yl-5-propyl-1,3-diazinane-2,4,6-tr",-7.991,"[-7.991, -7.431, -7.234, -6.725, -6.688, 0.0, 1.0, 10.0, 16.0]"
"5-((214C)cyclohexen-1-yl)-1,5-dimethyl-1,3-di",-7.991,"[-7.991, -7.941, -7.714, -7.319, -7.086, 0.0, 1.0, 10.0, 16.0]"
"3-methyl-3-phenylpyrrolidine-2,5-dione",-7.987,"[-7.987, -7.153, -6.887, -6.786, -6.616, 0.0, 1.0, 10.0, 16.0]"
"5-butyl-1-methyl-5-phenyl-1,3-diazinane-2,4,6",-7.981,"[-7.981, -6.102, -5.98, -5.897, -5.789, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-5-ethyl-1-methyl-1,3-diaz",-7.978,"[-7.978, -7.277, -6.86, -6.658, -6.507, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclopenten-1-yl)-5-ethyl-1-methyl-1,3-dia",-7.965,"[-7.965, -7.914, -7.399, -6.997, -6.978, 0.0, 1.0, 10.0, 16.0]"
"5-methyl-5-phenyl-1,3-diazinane-2,4,6-trione",-7.96,"[-7.96, -6.952, -6.671, -6.663, -6.349, 0.0, 1.0, 10.0, 16.0]"
"5-(2-phenylpropylidene)-1,3-diazinane-2,4,6-t",-7.954,"[-7.954, -6.781, -6.632, -6.526, -6.314, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-2-hydroxy-5-phenyl-1,3-diazinane-4,6-",-7.937,"[-7.937, -7.522, -7.504, -7.221, -6.992, 0.0, 1.0, 10.0, 16.0]"
"11-ethyl-2,4-diazaspiro[5.5]undec-8-ene-1,3,5",-7.936,"[-7.936, -7.897, -7.734, -7.593, -7.086, 0.0, 1.0, 10.0, 16.0]"
"5-[(Z)-but-2-en-2-yl]-5-butyl-1,3-diazinane-2",-7.933,"[-7.933, -7.806, -7.083, -6.877, -6.761, 0.0, 1.0, 10.0, 16.0]"
"2,4-dimethyl-11-methylidene-2,4-diazaspiro[5.",-7.929,"[-7.929, -6.742, -6.663, -6.639, -6.569, 0.0, 1.0, 10.0, 16.0]"
"3-(2-fluorophenyl)-5,5,6,6-tetramethylpiperid",-7.925,"[-7.925, -6.558, -4.652, -3.666, -3.273, 0.0, 1.0, 10.0, 16.0]"
"5-(2-methylpropyl)-5-propan-2-yl-1,3-diazinan",-7.917,"[-7.917, -7.2, -7.182, -7.063, -6.835, 0.0, 1.0, 10.0, 16.0]"
"5-(2,2-dimethylpropyl)-5-ethyl-1,3-diazinane-",-7.906,"[-7.906, -7.318, -6.939, -6.896, -6.852, 0.0, 1.0, 10.0, 16.0]"
"3-[(2,6-difluorophenyl)methyl]piperidine-2,6-",-7.902,"[-7.902, -7.596, -7.171, -6.544, -6.069, 0.0, 1.0, 10.0, 16.0]"
"3-benzyl-1-methylpiperidine-2,6-dione",-7.898,"[-7.898, -7.438, -7.147, -6.861, -6.683, 0.0, 1.0, 10.0, 16.0]"
5-(cyclohexen-1-yl)-1-methyl-5-(trideuteriome,-7.897,"[-7.897, -7.211, -6.643, -5.998, -5.711, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1-methyl-5-prop-2-enyl-1,",-7.896,"[-7.896, -7.198, -6.688, -5.935, -5.626, 0.0, 1.0, 10.0, 16.0]"
"5-tert-butyl-5-ethyl-1,3-diazinane-2,4,6-trio",-7.867,"[-7.867, -7.107, -7.045, -7.031, -6.929, 0.0, 1.0, 10.0, 16.0]"
"5-tert-butyl-5-methyl-1,3-diazinane-2,4,6-tri",-7.867,"[-7.867, -7.072, -7.057, -6.768, -6.712, 0.0, 1.0, 10.0, 16.0]"
"5-cyclohepta-1,3-dien-1-yl-5-ethyl-1,3-diazin",-7.851,"[-7.851, -7.627, -7.553, -7.057, -5.915, 0.0, 1.0, 10.0, 16.0]"
"(5R)-5-ethyl-1-methyl-5-phenyl-1,3-diazinane-",-7.849,"[-7.849, -6.81, -6.463, -6.276, -5.807, 0.0, 1.0, 10.0, 16.0]"
1-(3-fluorophenyl)-3-azabicyclo[3.1.0]hexane-,-7.848,"[-7.848, -7.699, -7.589, -6.873, -6.844, 0.0, 1.0, 10.0, 16.0]"
N-acetyl-3-oxo-2-phenylbutanamide,-7.845,"[-7.845, -6.944, -6.576, -6.057, -6.039, 0.0, 1.0, 10.0, 16.0]"
"5-benzyl-5-prop-2-enyl-1,3-diazinane-2,4,6-tr",-7.837,"[-7.837, -7.479, -7.184, -7.096, -6.763, 0.0, 1.0, 10.0, 16.0]"
"3-ethyl-3-phenylpyridine-2,6-dione",-7.819,"[-7.819, -7.787, -6.658, -6.528, -6.426, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2-methylbut-3-yn-2-yl)-1,3-diazina",-7.814,"[-7.814, -7.81, -7.686, -7.453, -6.73, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-1-(methylsulfanylmethyl)-5-phenyl-1,3",-7.803,"[-7.803, -7.01, -6.332, -5.348, -4.486, 0.0, 1.0, 10.0, 16.0]"
"5-[(4-fluorophenyl)methyl]-1,3-diazinane-2,4,",-7.782,"[-7.782, -6.75, -6.706, -6.513, -5.753, 0.0, 1.0, 10.0, 16.0]"
"5-(2,2-dimethylpropyl)-5-propyl-1,3-diazinane",-7.781,"[-7.781, -7.408, -7.075, -6.734, -6.202, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(3-methylbutan-2-yl)-1,3-diazinane-",-7.769,"[-7.769, -7.737, -7.05, -6.782, -6.683, 0.0, 1.0, 10.0, 16.0]"
"3-[(2-fluorophenyl)methyl]piperidine-2,6-dion",-7.767,"[-7.767, -7.715, -7.627, -7.319, -7.289, 0.0, 1.0, 10.0, 16.0]"
"(3S)-3-methyl-3-phenylpyrrolidine-2,5-dione",-7.767,"[-7.767, -6.941, -6.552, -6.505, -6.37, 0.0, 1.0, 10.0, 16.0]"
"5-(3-chlorophenyl)-5-ethyl-1,3-diazinane-2,4,",-7.742,"[-7.742, -7.695, -6.459, -5.915, -5.234, 0.0, 1.0, 10.0, 16.0]"
"1,5-dihydro-3-benzazepine-2,4-dione",-7.74,"[-7.74, -7.527, -7.499, -7.432, -7.118, 0.0, 1.0, 10.0, 16.0]"
"8-cyclohex-3-en-1-yl-6,8-diazaspiro[3.5]nonan",-7.736,"[-7.736, -7.65, -7.456, -7.068, -5.777, 0.0, 1.0, 10.0, 16.0]"
"5-(2-hydroxyethyl)-5-phenyl-1,3-diazinane-2,4",-7.71,"[-7.71, -7.66, -7.536, -6.998, -6.803, 0.0, 1.0, 10.0, 16.0]"
"4-methyl-4-phenylpiperidine-2,6-dione",-7.7,"[-7.7, -7.247, -7.033, -6.757, -6.739, 0.0, 1.0, 10.0, 16.0]"
(5S)-5-[(Z)-but-2-en-2-yl]-5-ethyl-1-methyl-1,-7.698,"[-7.698, -6.638, -6.551, -6.261, -6.197, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2-phenylpropyl)-1,3-diazinane-2,4,",-7.695,"[-7.695, -5.115, -4.889, -4.781, -4.696, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-pent-2-en-3-yl-1,3-diazinane-2,4,6-",-7.693,"[-7.693, -7.527, -6.65, -6.646, -6.504, 0.0, 1.0, 10.0, 16.0]"
"(5S)-5-butyl-1-methyl-5-prop-1-en-2-yl-1,3-di",-7.69,"[-7.69, -7.458, -7.273, -6.69, -6.612, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-pent-2-en-3-yl-1,3-diazinane-2,4-di",-7.688,"[-7.688, -7.52, -7.076, -6.833, -6.505, 0.0, 1.0, 10.0, 16.0]"
"4,4-dimethylisoquinoline-1,3-dione",-7.68,"[-7.68, -7.491, -7.266, -7.219, -7.131, 0.0, 1.0, 10.0, 16.0]"
"5-methyl-5-(4-methylpentan-2-yl)-1,3-diazinan",-7.653,"[-7.653, -7.578, -7.381, -7.28, -7.19, 0.0, 1.0, 10.0, 16.0]"
N-acetyl-2-phenylacetamide,-7.652,"[-7.652, -7.642, -7.44, -7.299, -7.115, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2-methylpropyl)-1,3-diazinane-2,4,",-7.652,"[-7.652, -7.385, -7.371, -7.123, -7.042, 0.0, 1.0, 10.0, 16.0]"
"5-butan-2-yl-5-ethyl-1,3-diazinane-2,4,6-trio",-7.641,"[-7.641, -7.35, -7.317, -7.091, -6.943, 0.0, 1.0, 10.0, 16.0]"
"5-benzyl-1-methyl-1,3-diazinane-2,4,6-trione",-7.619,"[-7.619, -7.498, -7.3, -7.27, -7.005, 0.0, 1.0, 10.0, 16.0]"
