name,best_affinity,all_affinities
NEFOPAM,-4.987,"[-4.987, -4.504, -3.915, -3.831, -3.392, 0.0, 1.0, 10.0, 16.0]"
PITOLISANT,-4.987,"[-4.987, -4.717, -4.65, -4.641, -4.346, 0.0, 1.0, 10.0, 16.0]"
PRAMOXINE,-4.949,"[-4.949, -4.497, -3.782, -3.137, -3.011, 0.0, 1.0, 10.0, 16.0]"
LEVOBETAXOLOL,-4.948,"[-4.948, -4.515, -4.084, -3.842, -3.837, 0.0, 1.0, 10.0, 16.0]"
METHAPYRILENE,-4.868,"[-4.868, -4.592, -4.537, -4.202, -3.975, 0.0, 1.0, 10.0, 16.0]"
APRACLONIDINE,-4.709,"[-4.709, -4.651, -4.142, -4.031, -3.753, 0.0, 1.0, 10.0, 16.0]"
BETAZOLE,-4.561,"[-4.561, -4.515, -4.455, -4.395, -4.321, 0.0, 1.0, 10.0, 16.0]"
HISTAMINE,-4.497,"[-4.497, -4.354, -4.231, -4.13, -3.984, 0.0, 1.0, 10.0, 16.0]"
HISTAMINE PHOSPHATE,-4.48,"[-4.48, -4.362, -4.285, -4.185, -4.095, 0.0, 1.0, 10.0, 16.0]"
TIZANIDINE,-4.463,"[-4.463, -4.433, -4.027, -3.972, -3.896, 0.0, 1.0, 10.0, 16.0]"
PHENAZOPYRIDINE,-4.437,"[-4.437, -3.629, -2.956, -2.758, -2.181, 0.0, 1.0, 10.0, 16.0]"
TRIMETAZIDINE,-4.413,"[-4.413, -3.6, -3.57, -2.919, -2.689, 0.0, 1.0, 10.0, 16.0]"
LEVAMISOLE,-4.382,"[-4.382, -4.014, -3.426, -3.319, -3.146, 0.0, 1.0, 10.0, 16.0]"
CYSTEINE,-4.004,"[-4.004, -3.897, -3.888, -3.794, -3.576, 0.0, 1.0, 10.0, 16.0]"
OXYMETAZOLINE,-3.911,"[-3.911, -3.417, -2.83, -0.942, -0.696, 0.0, 1.0, 10.0, 16.0]"
XYLOMETAZOLINE,-3.783,"[-3.783, -3.683, -2.461, -2.196, 0.0, 1.0, 10.0, 16.0]"
BUPIVACAINE,-2.971,"[-2.971, -2.84, -2.822, -2.41, -2.324, 0.0, 1.0, 10.0, 16.0]"
LEVOBUPIVACAINE,-2.922,"[-2.922, -2.907, -2.798, 0.0, 0.808, 1.0, 10.0, 14.59, 16.0]"
DIETHYLSTILBESTROL,-2.789,"[-2.789, -2.78, 0.0, 1.0, 10.0, 16.0]"
MEPIVACAINE,-2.719,"[-2.719, -2.608, -2.48, -2.446, -2.321, 0.0, 1.0, 10.0, 16.0]"
ROPIVACAINE,-2.444,"[-2.444, -2.439, -2.088, -2.083, -1.995, 0.0, 1.0, 10.0, 16.0]"
TERBINAFINE,-1.742,"[-1.742, -1.539, -1.452, -1.302, -0.99, 0.0, 1.0, 10.0, 16.0]"
