name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
CLAVULANIC ACID,CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,-4.962610489056712,0.29464180619130315,C=C1CN2C(=O)C[C@H]2O1
CARBARIL,CHEMBL46917,CNC(=O)Oc1cccc2ccccc12,-4.960301071615922,0.39421112355096577,c1ccc2ccccc2c1
MERCAPTOPURINE,CHEMBL1200751,O.S=c1[nH]cnc2nc[nH]c12,-4.957365044826697,0.3063651893543158,S=c1[nH]cnc2nc[nH]c12
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,-4.946407347657266,0.27452524284064056,c1cnccn1
PHENMETRAZINE,CHEMBL1201208,CC1NCCOC1c1ccccc1,-4.9327932414975155,0.3118660091645008,c1ccc(C2CNCCO2)cc1
PHENMETRAZINE HYDROCHLORIDE,CHEMBL1200483,CC1NCCOC1c1ccccc1.Cl,-4.932206173820748,0.31243760350845756,c1ccc(C2CNCCO2)cc1
BENZOYL PEROXIDE,CHEMBL1200370,O=C(OOC(=O)c1ccccc1)c1ccccc1,-4.93103533140843,0.3519568463740357,O=C(OOC(=O)c1ccccc1)c1ccccc1
FELBINAC,CHEMBL413965,O=C(O)Cc1ccc(-c2ccccc2)cc1,-4.929843023883304,0.3928665954080642,c1ccc(-c2ccccc2)cc1
NIACIN,CHEMBL573,O=C(O)c1cccnc1,-4.928273474816712,0.31080314185556496,c1ccncc1
PYRITHIONE ZINC,CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],-4.924412936136306,0.28266238290929924,c1cc[nH+]cc1.c1cc[nH+]cc1
NAFTAZONE,CHEMBL2106794,NC(=O)N/N=C1\C=Cc2ccccc2C1=O,-4.913741673691065,0.3542270024262345,N=C1C=Cc2ccccc2C1=O
PHENOBARBITAL,CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-4.912207700724995,0.3736986638157601,O=C1NC(=O)C(c2ccccc2)C(=O)N1
BENZNIDAZOLE,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-4.90308519420932,0.34705110163951436,O=C(Cn1ccnc1)NCc1ccccc1
DACARBAZINE,CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O,-4.9020159182838565,0.27432792437922615,c1c[nH]cn1
ALLOPURINOL,CHEMBL1467,Oc1ncnc2[nH]ncc12,-4.897826518313506,0.27540147473841864,c1ncc2cn[nH]c2n1
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,-4.891728843322305,0.2811281915407372,B1OCc2ccccc21
FENCLOFENAC,CHEMBL15677,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,-4.883615235577465,0.45768257902969894,c1ccc(Oc2ccccc2)cc1
CHLOROXINE,CHEMBL1200596,Oc1c(Cl)cc(Cl)c2cccnc12,-4.879877556678112,0.33706983555586667,c1ccc2ncccc2c1
TISOPURINE,CHEMBL119423,Sc1ncnc2[nH]ncc12,-4.872637281252688,0.28175806506758394,c1ncc2cn[nH]c2n1
TRANEXAMIC ACID,CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,-4.8632428269273245,0.2940834434736811,C1CCCCC1
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,-4.8622219487413085,0.2567456377167448,c1ccncc1
PHENSUXIMIDE,CHEMBL797,CN1C(=O)CC(c2ccccc2)C1=O,-4.861200215595835,0.28225376724471496,O=C1CC(c2ccccc2)C(=O)N1
NIACINAMIDE,CHEMBL1140,NC(=O)c1cccnc1,-4.858426401911414,0.2740289803912205,c1ccncc1
FLUMEXADOL,CHEMBL578767,FC(F)(F)c1cccc(C2CNCCO2)c1,-4.856956920677728,0.3388620612668754,c1ccc(C2CNCCO2)cc1
CHLORZOXAZONE,CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,-4.854752454150301,0.34482640366439926,O=c1[nH]c2ccccc2o1
BETAHISTINE HYDROCHLORIDE,CHEMBL1446813,CNCCc1ccccn1.Cl.Cl,-4.852130285358686,0.2662127605229329,c1ccncc1
PYRIDOSTIGMINE,CHEMBL1115,CN(C)C(=O)Oc1ccc[n+](C)c1,-4.847219120141004,0.2868061243031282,c1cc[nH+]cc1
PINDOLOL,CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12,-4.8442427881946015,0.35152796646997053,c1ccc2[nH]ccc2c1
OXYBENZONE,CHEMBL1625,COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.837824513873438,0.33557070710154674,O=C(c1ccccc1)c1ccccc1
COUMARIN,CHEMBL6466,O=c1ccc2ccccc2o1,-4.835438509196746,0.30304386015647994,O=c1ccc2ccccc2o1
ACEFYLLINE,CHEMBL70246,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,-4.833918491428697,0.33442155393097095,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
PYRIDOSTIGMINE BROMIDE,CHEMBL812,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],-4.832390459161918,0.2855031750767478,c1cc[nH+]cc1
RASAGILINE,CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,-4.83069740699928,0.25810018947649505,c1ccc2c(c1)CCC2
PRONETALOL,CHEMBL16476,CC(C)NCC(O)c1ccc2ccccc2c1,-4.82760191262352,0.28838960921837625,c1ccc2ccccc2c1
ZILEUTON,CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,-4.826799435657465,0.32239363329961596,c1ccc2sccc2c1
LOFEXIDINE,CHEMBL17860,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,-4.825707948771294,0.2828200575349995,c1ccc(OCC2=NCCN2)cc1
LORCASERIN,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,-4.8250027138376,0.2681807439034169,c1ccc2c(c1)CCNCC2
TRICLOSAN,CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.815567731600833,0.36736524028130246,c1ccc(Oc2ccccc2)cc1
PENTOXIFYLLINE,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,-4.814442103457689,0.3118160180568869,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
TIPIRACIL,CHEMBL235668,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.812594019209309,0.32134310568549285,N=C1CCCN1Cc1cc(=O)[nH]c(=O)[nH]1
TIPIRACIL HYDROCHLORIDE,CHEMBL65375,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.805703821977325,0.3260288000019465,N=C1CCCN1Cc1cc(=O)[nH]c(=O)[nH]1
LEVETIRACETAM,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,-4.8052715706453615,0.26471307796329036,O=C1CCCN1
BARBITAL,CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O,-4.8025922504178835,0.31129752558658624,O=C1CC(=O)NC(=O)N1
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,-4.802040360057682,0.2552769149604033,O=c1cc[nH]cc1
AMINOPYRINE,CHEMBL288470,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-4.799443844630931,0.3104976943660591,O=c1cc[nH]n1-c1ccccc1
APROBARBITAL,CHEMBL7863,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-4.796580397793716,0.3059789347613124,O=C1CC(=O)NC(=O)N1
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,-4.79524564635429,0.29468606858081314,c1ccc2cnncc2c1
PRIMIDONE,CHEMBL856,CCC1(c2ccccc2)C(=O)NCNC1=O,-4.794684586527333,0.3555250985826014,O=C1NCNC(=O)C1c1ccccc1
NAPROXEN SODIUM,CHEMBL1200806,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],-4.791901203665019,0.24326387009294045,c1ccc2ccccc2c1
LORCASERIN HYDROCHLORIDE,CHEMBL2095211,C[C@H]1CNCCc2ccc(Cl)cc21.Cl,-4.791139748366018,0.26904195480122467,c1ccc2c(c1)CCNCC2
MELATONIN,CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,-4.78799556869246,0.3315937952356836,c1ccc2[nH]ccc2c1
NITROXOLINE,CHEMBL1454910,O=[N+]([O-])c1ccc(O)c2ncccc12,-4.787696889794587,0.2829068213198257,c1ccc2ncccc2c1
BUTALBITAL,CHEMBL454,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,-4.7866032125243825,0.3209749444722777,O=C1CC(=O)NC(=O)N1
PROPYPHENAZONE,CHEMBL28318,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,-4.7777557999700075,0.29337311366022556,O=c1cc[nH]n1-c1ccccc1
HYDRALAZINE HYDROCHLORIDE,CHEMBL542541,Cl.NNc1nncc2ccccc12,-4.776990482955596,0.30484342551012733,c1ccc2cnncc2c1
TEGAFUR,CHEMBL20883,O=c1[nH]c(=O)n(C2CCCO2)cc1F,-4.775562882357076,0.2936487617758941,O=c1ccn(C2CCCO2)c(=O)[nH]1
PROXIBARBAL,CHEMBL2105233,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,-4.775257404953633,0.3036530049948082,O=C1CC(=O)NC(=O)N1
PIRPROFEN,CHEMBL188952,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,-4.773653395523709,0.2984895807159602,C1=CCN(c2ccccc2)C1
MAVACAMTEN,CHEMBL4297517,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,-4.772589797059249,0.3082607383610813,O=c1cc(NCc2ccccc2)[nH]c(=O)[nH]1
MEPHENYTOIN,CHEMBL861,CCC1(c2ccccc2)NC(=O)N(C)C1=O,-4.770027545276509,0.33515744854244395,O=C1NC(=O)C(c2ccccc2)N1
BUTABARBITAL,CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-4.766197583287557,0.3128402958027033,O=C1CC(=O)NC(=O)N1
MEPHOBARBITAL,CHEMBL45029,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,-4.7659806250841195,0.333926924144024,O=C1NC(=O)C(c2ccccc2)C(=O)N1
CAFFEINE,CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-4.7658290392955065,0.24790247121668207,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
CYCLOBARBITAL,CHEMBL268164,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-4.761605344570776,0.3203752560403282,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1
OXTRIPHYLLINE,CHEMBL1200434,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,-4.761511718154819,0.26046229143807625,O=c1[nH]c(=O)c2[n-]cnc2[nH]1
CLIOQUINOL,CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,-4.755676567099279,0.30821446109434725,c1ccc2ncccc2c1
VILOXAZINE,CHEMBL306700,CCOc1ccccc1OCC1CNCCO1,-4.752757519586586,0.2991219048810017,c1ccc(OCC2CNCCO2)cc1
PROPRANOLOL,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,-4.751195319397821,0.320509480144346,c1ccc2ccccc2c1
CAPTOPRIL,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,-4.748995491935447,0.2486978551394759,C1CCNC1
HEPTABARBITAL,CHEMBL468837,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-4.741294923961753,0.31932678941580234,O=C1NC(=O)C(C2=CCCCCC2)C(=O)N1
CHLORMEZANONE,CHEMBL1200714,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,-4.739189111141084,0.2569518929315635,O=C1CCS(=O)(=O)C(c2ccccc2)N1
NAPROXEN,CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.738020202773618,0.27815546701625854,c1ccc2ccccc2c1
MITOTANE,CHEMBL1670,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-4.733343304909332,0.3058558216883344,c1ccc(Cc2ccccc2)cc1
FLOSEQUINAN,CHEMBL1908307,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,-4.732693621187446,0.27409955923250184,O=c1cc[nH]c2ccccc12
MEDIFOXAMINE,CHEMBL85231,CN(C)CC(Oc1ccccc1)Oc1ccccc1,-4.732317020288099,0.30172596488468423,c1ccc(OCOc2ccccc2)cc1
ISAXONINE,CHEMBL1740513,CC(C)Nc1ncccn1,-4.729194789350038,0.20794871754371136,c1cncnc1
VILOXAZINE HYDROCHLORIDE,CHEMBL2106483,CCOc1ccccc1OCC1CNCCO1.Cl,-4.72447015907051,0.29852499988475667,c1ccc(OCC2CNCCO2)cc1
LOFEXIDINE HYDROCHLORIDE,CHEMBL1788132,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1.Cl,-4.717586142534133,0.2734502757084939,c1ccc(OCC2=NCCN2)cc1
BENZPHETAMINE,CHEMBL3545985,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,-4.716795918413878,0.30851846166093205,c1ccc(CCNCc2ccccc2)cc1
CARBIMAZOLE,CHEMBL508102,CCOC(=O)n1ccn(C)c1=S,-4.714628257239202,0.23851988802649984,S=c1[nH]cc[nH]1
FURAZOLIDONE,CHEMBL1103,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,-4.713551849276747,0.2804071939177531,O=C1OCCN1/N=C/c1ccco1
DEXMETHYLPHENIDATE,CHEMBL827,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,-4.710322971318146,0.31176895088762124,c1ccc(C[C@H]2CCCCN2)cc1
METHYLPHENIDATE,CHEMBL796,COC(=O)C(c1ccccc1)C1CCCCN1,-4.710322971318146,0.31176895088762124,c1ccc(CC2CCCCN2)cc1
PEMOLINE,CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,-4.710184771630449,0.34736548443051507,O=C1N=COC1c1ccccc1
DEXMETHYLPHENIDATE HYDROCHLORIDE,CHEMBL904,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl,-4.707243075713749,0.3098263584056751,c1ccc(C[C@H]2CCCCN2)cc1
METHYLPHENIDATE HYDROCHLORIDE,CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,-4.707243075713749,0.3098263584056751,c1ccc(CC2CCCCN2)cc1
BENZPHETAMINE HYDROCHLORIDE,CHEMBL3544906,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1.Cl,-4.705980382190561,0.30733606488339094,c1ccc(CCNCc2ccccc2)cc1
STAVUDINE,CHEMBL991,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,-4.702509806928462,0.26784154139749466,O=c1ccn([C@H]2C=CCO2)c(=O)[nH]1
IBUDILAST,CHEMBL19449,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,-4.700761412544654,0.3004440129152849,c1ccn2nccc2c1
FLUCICLOVINE F18,CHEMBL254468,N[C@]1(C(=O)O)C[C@@H]([18F])C1,-4.695565752453015,0.28822420927522724,C1CCC1
FLUCICLOVINE,CHEMBL1908917,N[C@]1(C(=O)O)C[C@@H](F)C1,-4.695565752453015,0.28822420927522724,C1CCC1
DIETHYLCARBAMAZINE,CHEMBL684,CCN(CC)C(=O)N1CCN(C)CC1,-4.694854795174802,0.22151915718490786,C1CNCCN1
DIFLUNISAL,CHEMBL898,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-4.69338669538707,0.4423290016099804,c1ccc(-c2ccccc2)cc1
EPALRESTAT,CHEMBL56337,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,-4.688339880616652,0.3386580001030303,O=C1NC(=S)S/C1=C\C=C\c1ccccc1
NALIDIXIC ACID,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-4.687430800060161,0.4116258258344344,O=c1cc[nH]c2ncccc12
TROPICAMIDE,CHEMBL1200604,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,-4.685905633826653,0.28199159445970445,O=C(Cc1ccccc1)NCc1ccncc1
RITODRINE,CHEMBL83063,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,-4.681406036807788,0.2050292258266962,c1ccc(CCNCCc2ccccc2)cc1
TRIPELENNAMINE,CHEMBL1241,CN(C)CCN(Cc1ccccc1)c1ccccn1,-4.680569232598853,0.301329267967645,c1ccc(CNc2ccccn2)cc1
METHYPRYLON,CHEMBL1200790,CCC1(CC)C(=O)NCC(C)C1=O,-4.67859633883567,0.29572863441572866,O=C1CCNC(=O)C1
ALBENDAZOLE,CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,-4.676796255375177,0.3432018462245967,c1ccc2[nH]cnc2c1
RASAGILINE MESYLATE,CHEMBL1201142,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O,-4.673399097306516,0.2691198363533056,c1ccc2c(c1)CCC2
PHENYL AMINOSALICYLATE,CHEMBL1200868,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,-4.669528189075868,0.4332742619475606,O=C(Oc1ccccc1)c1ccccc1
DIAZOXIDE,CHEMBL181,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,-4.669056974569986,0.3005411102112702,O=S1(=O)NC=Nc2ccccc21
ERDOSTEINE,CHEMBL1697744,O=C(O)CSCC(=O)NC1CCSC1=O,-4.668812303781925,0.3037410601218634,O=C1CCCS1
