name,best_affinity,source
"2-[(3S)-2,6-dioxopiperidin-3-yl]isoindole-1,3-dion",-8.382,glutarimide
"N-(2,6-dioxopiperidin-3-yl)-2-phenylacetamide",-8.375,glutarimide
2-cyclohexyl-3-oxo-1H-isoindole-4-carboxamide,-8.369,glutarimide
2-[2-(trifluoromethyl)phenyl]acetamide,-8.359,glutarimide
FUROSEMIDE,-8.358,fda_leftover
"2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindole-5-c",-8.352,glutarimide
N-hydroxy-4-[3-(trifluoromethyl)phenyl]piperidine-,-8.351,glutarimide
"4-(4-methylbenzoyl)piperazine-2,6-dione",-8.347,glutarimide
"8-(cyclohex-3-en-1-ylmethyl)-6,8-diazaspiro[3",-8.345,pathc_v2
NAFTAZONE,-8.339,screening_master_results.csv
"1-benzyl-5-ethyl-5-phenyl-1,3-diazinane-2,4,6",-8.335,pathc_v2
HEXOBARBITAL,-8.334,docking_round5b_results.csv
"2,4-diazaspiro[5.5]undec-9-ene-1,3,5-trione",-8.331,pathc_v2
"3-amino-4-(4-fluorobenzoyl)cyclobut-3-ene-1,2-dion",-8.33,glutarimide
"2-methyl-3-(prop-2-ynylamino)naphthalene-1,4-dione",-8.328,glutarimide
"1-(2-phenylacetyl)piperidine-2,6-dione",-8.326,pathc_v2
"(11S)-11-methyl-2,4-diazaspiro[5.5]undec-8-en",-8.325,pathc_v2
"(10bR)-7-(trifluoromethyl)-2,3,4,10b-tetrahydro-1H",-8.323,glutarimide
"3-phenylpiperidine-2,6-dione",-8.323,pathc_v2
"5-cyclohexa-1,3-dien-1-yl-5-ethyl-1,3-diazina",-8.317,pathc_v2
"3-amino-4-phenylcyclobut-3-ene-1,2-dione",-8.311,glutarimide
"(1S,10bR)-1-ethyl-7-(trifluoromethyl)-2,3,4,10b-te",-8.311,glutarimide
2-phenyl-N-(trifluoromethyl)acetamide,-8.31,glutarimide
"(11S)-11-methyl-2,4-diazaspiro[5.5]undec-9-en",-8.307,pathc_v2
2-(2-phenylphenyl)-N-(trifluoromethyl)acetamide,-8.301,glutarimide
PHENOBARBITAL,-8.299,docking_batch_results.csv
"5-ethyl-5-[(E)-hex-3-en-3-yl]-1,3-diazinane-2",-8.297,pathc_v2
"3-chloro-3-[(4-chlorophenyl)methyl]piperidine-2,6-",-8.295,glutarimide
"(11R)-11-methyl-2,4-diazaspiro[5.5]undec-8-en",-8.294,pathc_v2
"3-[4-(bromomethyl)-3-fluorophenyl]piperidine-2,6-d",-8.288,glutarimide
"(5S)-5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-dia",-8.281,pathc_v2
"5-ethyl-5-(2,2,2-trifluoroethyl)-1,3-diazinan",-8.279,pathc_v2
3-phenylpentanediamide,-8.278,glutarimide
"5-[(2-fluorophenyl)methyl]-1,3-diazinane-2,4,",-8.272,pathc_v2
"5-benzyl-5-butyl-1,3-diazinane-2,4,6-trione",-8.271,pathc_v2
"N-[(3R)-2,6-dioxopiperidin-3-yl]-2-phenylacetamide",-8.27,glutarimide
"3-(5-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-d",-8.269,glutarimide
"5-[1-(2,3-difluorophenyl)-2,2,2-trifluoroethyl]pip",-8.268,glutarimide
"(11R)-11-methyl-2,4-diazaspiro[5.5]undec-9-en",-8.267,pathc_v2
"11-methyl-2,4-diazaspiro[5.5]undec-8-ene-1,3,",-8.264,pathc_v2
"11-methyl-2,4-diazaspiro[5.5]undec-9-ene-1,3,",-8.261,pathc_v2
"2-(5-diazo-4-oxopentyl)isoindole-1,3-dione",-8.26,glutarimide
N-carbamoyl-3-phenylbutanamide,-8.256,pathc_v2
"2-(3,4-difluorophenyl)-2,2-diphenylacetamide",-8.249,glutarimide
LENALIDOMIDE,-8.247,fda_leftover
2-phenyl-2-prop-2-enylpent-4-enamide,-8.226,glutarimide
"3-[3-(trifluoromethyl)phenyl]pyrrolidine-2,5-dione",-8.224,glutarimide
"2-(2-aminoacetyl)naphthalene-1,4-dione",-8.22,glutarimide
"N-[(3S)-2,6-dioxopiperidin-3-yl]-2-phenylacetamide",-8.216,glutarimide
"4-(2,5-difluorophenyl)piperidine-4-carboxamide",-8.214,glutarimide
"5-(4-fluorophenyl)-5-prop-2-enyl-1,3-diazinan",-8.213,pathc_v2
"3-(1,3-dioxoisoindol-2-yl)propanenitrile",-8.203,glutarimide
"4-(3-chloro-4-fluorophenyl)-4-methylpiperidine-2,6",-8.202,glutarimide
"3-(4-chlorophenyl)piperidine-2,6-dione",-8.195,glutarimide
"3-[3-ethenyl-2,5-dioxo-4-[(Z)-prop-1-enyl]pyrrol-1",-8.191,glutarimide
"6-(difluoromethyl)-5,5-difluoro-6-(2-fluorophenyl)",-8.19,glutarimide
2-[[(2-oxo-1H-pyridin-3-yl)amino]methyl]isoindole-,-8.186,glutarimide
"9-(cyclohex-3-en-1-ylmethyl)-7,9-diazaspiro[4",-8.185,pathc_v2
"3-(3-fluorophenyl)piperidine-2,6-dione",-8.182,glutarimide
"5-benzyl-1,3-diazinane-2,4,6-trione",-8.166,pathc_v2
"5-[(2,4-difluorophenyl)methyl]piperidin-2-one",-8.165,glutarimide
"3-[fluoro(phenyl)methyl]pyrrole-2,5-dione",-8.158,glutarimide
"3-[2-(trifluoromethyl)phenyl]piperidine-2,6-d",-8.157,pathc_v2
"2,2-bis(2-fluorophenyl)-2-phenylacetamide",-8.157,glutarimide
"5-[(4-chlorophenyl)methyl]-1,3-diazinane-2,4,6-tri",-8.154,glutarimide
"5-butyl-5-phenyl-1,3-diazinane-2,4,6-trione",-8.14,pathc_v2
"6-phenyl-6-(trifluoromethyl)cyclohexa-2,4-diene-1-",-8.139,glutarimide
"4-ethyl-4-(3-fluorophenyl)piperidine-2,6-dione",-8.136,glutarimide
"5-chloro-1-methyl-5-phenyl-1,3-diazinane-2,4,6-tri",-8.135,glutarimide
"5-ethyl-5-[4-(4-fluorophenyl)-4-oxobutyl]-1,3",-8.133,pathc_v2
"6-(4-chlorophenyl)-3-azabicyclo[3.1.1]heptane-2,4-",-8.133,glutarimide
"2,11-diazatricyclo[7.3.1.05,13]trideca-5(13),6,8-t",-8.13,glutarimide
"6-(trifluoromethyl)-4H-isoquinoline-1,3-dione",-8.12,glutarimide
"5-cyclopent-2-en-1-yl-5-ethyl-1-methyl-1,3-di",-8.115,pathc_v2
2-[1-(cyclopropylmethyl)piperidin-4-yl]-3-oxo-1H-i,-8.105,glutarimide
"(3R)-3-(2,6-difluorophenyl)piperidine-2,6-dione",-8.097,glutarimide
"2-(trifluoromethyl)naphthalene-1,4-dione",-8.088,glutarimide
"5-(cyclohexen-1-yl)-1-methyl-1,3-diazinane-2,",-8.087,pathc_v2
"2-azido-3-(3-methylbut-2-enyl)naphthalene-1,4-dion",-8.086,glutarimide
N-acetyl-2-(4-fluorophenyl)acetamide,-8.078,pathc_v2
"2-ethylnaphthalene-1,4-dione",-8.078,glutarimide
"3-[(3-chloro-4-fluorophenyl)methyl]piperidine-2,6-",-8.072,glutarimide
"5,8-dioxonaphthalene-1-carboxamide",-8.071,glutarimide
3-[3-(2-fluorophenyl)-2-oxopropyl]piperidine-,-8.064,pathc_v2
BUFEXAMAC,-8.063,fda_leftover
"3-(1,3-dioxoisoindol-2-yl)propanoic acid",-8.06,glutarimide
"5-(cyclohexen-1-yl)-1,3,5-trimethyl-1,3-diazi",-8.051,pathc_v2
"2-(2-oxopiperidin-3-yl)isoindole-1,3-dione",-8.049,glutarimide
"N-acetyl-5-methyl-2,6-dioxo-4-phenyl-4-(trifl",-8.048,pathc_v2
1-phenylcyclohexane-1-carboxamide,-8.048,glutarimide
"2-azido-3-heptylnaphthalene-1,4-dione",-8.048,glutarimide
"3-[4-(2-chloroacetyl)phenyl]pyrrole-2,5-dione",-8.047,glutarimide
