name,best_affinity,all_affinities
BIOTIN,-6.816,"[-6.816, -6.607, -6.541, -6.288, -6.114, 0.0, 1.0, 10.0, 16.0]"
BENZYL BENZOATE,-6.8,"[-6.8, -6.754, -6.722, -6.39, -6.154, 0.0, 1.0, 10.0, 16.0]"
LOFEXIDINE,-6.783,"[-6.783, -6.376, -6.056, -5.986, -5.83, 0.0, 1.0, 10.0, 16.0]"
SOLRIAMFETOL,-6.763,"[-6.763, -6.416, -6.404, -6.321, -6.04, 0.0, 1.0, 10.0, 16.0]"
MONOBENZONE,-6.736,"[-6.736, -6.617, -6.122, -6.043, -5.854, 0.0, 1.0, 10.0, 16.0]"
SULFADIAZINE,-6.731,"[-6.731, -6.557, -6.51, -6.44, -6.382, 0.0, 1.0, 10.0, 16.0]"
TICLOPIDINE,-6.706,"[-6.706, -6.29, -5.507, -5.422, -5.314, 0.0, 1.0, 10.0, 16.0]"
CHLORZOXAZONE,-6.699,"[-6.699, -6.521, -6.375, -6.308, -5.984, 0.0, 1.0, 10.0, 16.0]"
COUMARIN,-6.687,"[-6.687, -6.624, -6.584, -6.515, -6.488, 0.0, 1.0, 10.0, 16.0]"
DIAZOXIDE,-6.682,"[-6.682, -6.278, -5.94, -5.891, -5.886, 0.0, 1.0, 10.0, 16.0]"
KETAMINE,-6.665,"[-6.665, -6.309, -6.188, -5.834, -5.81, 0.0, 1.0, 10.0, 16.0]"
PHENSUXIMIDE,-6.651,"[-6.651, -6.474, -6.318, -6.092, -6.056, 0.0, 1.0, 10.0, 16.0]"
ETOMIDATE,-6.637,"[-6.637, -6.481, -6.344, -6.08, -5.96, 0.0, 1.0, 10.0, 16.0]"
ACYCLOVIR,-6.632,"[-6.632, -6.428, -6.383, -6.234, -6.153, 0.0, 1.0, 10.0, 16.0]"
LOMUSTINE,-6.629,"[-6.629, -6.109, -6.036, -5.862, -5.596, 0.0, 1.0, 10.0, 16.0]"
MELATONIN,-6.609,"[-6.609, -6.46, -5.879, -5.869, -5.452, 0.0, 1.0, 10.0, 16.0]"
NICOTINE,-6.603,"[-6.603, -6.1, -5.933, -5.784, -5.543, 0.0, 1.0, 10.0, 16.0]"
CLAVULANIC ACID,-6.603,"[-6.603, -6.478, -6.279, -6.142, -6.074, 0.0, 1.0, 10.0, 16.0]"
NAPHAZOLINE,-6.603,"[-6.603, -6.415, -5.731, -5.677, -5.184, 0.0, 1.0, 10.0, 16.0]"
CLOBENZOREX,-6.597,"[-6.597, -5.692, -5.636, -5.458, -5.364, 0.0, 1.0, 10.0, 16.0]"
FENCLOFENAC,-6.593,"[-6.593, -4.669, -4.575, -4.531, -4.486, 0.0, 1.0, 10.0, 16.0]"
NITISINONE,-6.583,"[-6.583, -6.016, -5.608, -5.604, -5.518, 0.0, 1.0, 10.0, 16.0]"
AMINOREX,-6.575,"[-6.575, -6.385, -6.324, -6.308, -6.0, 0.0, 1.0, 10.0, 16.0]"
PILOCARPINE,-6.571,"[-6.571, -6.495, -6.085, -5.66, -5.633, 0.0, 1.0, 10.0, 16.0]"
MECLOFENAMIC ACID,-6.567,"[-6.567, -6.156, -5.641, -5.451, -5.198, 0.0, 1.0, 10.0, 16.0]"
DEXMEDETOMIDINE,-6.566,"[-6.566, -6.337, -5.577, -5.357, -5.331, 0.0, 1.0, 10.0, 16.0]"
METHYPRYLON,-6.563,"[-6.563, -6.496, -6.451, -6.297, -6.184, 0.0, 1.0, 10.0, 16.0]"
TEMOZOLOMIDE,-6.538,"[-6.538, -6.023, -5.853, -5.586, -5.584, 0.0, 1.0, 10.0, 16.0]"
MILNACIPRAN,-6.532,"[-6.532, -5.864, -5.839, -5.837, -5.52, 0.0, 1.0, 10.0, 16.0]"
PINDOLOL,-6.51,"[-6.51, -6.343, -6.335, -6.305, -6.296, 0.0, 1.0, 10.0, 16.0]"
DIROXIMEL FUMARATE,-6.501,"[-6.501, -6.485, -6.051, -5.931, -5.93, 0.0, 1.0, 10.0, 16.0]"
PRAMIPEXOLE,-6.497,"[-6.497, -6.056, -5.545, -5.543, -5.491, 0.0, 1.0, 10.0, 16.0]"
PHENYL AMINOSALICYLATE,-6.485,"[-6.485, -6.419, -6.37, -6.281, -6.207, 0.0, 1.0, 10.0, 16.0]"
CEDAZURIDINE,-6.483,"[-6.483, -5.993, -5.987, -5.671, -5.504, 0.0, 1.0, 10.0, 16.0]"
ISOCARBOXAZID,-6.468,"[-6.468, -6.222, -6.07, -5.876, -5.168, 0.0, 1.0, 10.0, 16.0]"
CHLOROTHIAZIDE,-6.464,"[-6.464, -5.789, -5.715, -5.576, -4.697, 0.0, 1.0, 10.0, 16.0]"
ZILEUTON,-6.452,"[-6.452, -6.02, -5.947, -5.811, -4.727, 0.0, 1.0, 10.0, 16.0]"
THIAMYLAL,-6.439,"[-6.439, -6.023, -6.021, -5.914, -5.879, 0.0, 1.0, 10.0, 16.0]"
PHENYLBUTANOIC ACID,-6.436,"[-6.436, -6.435, -6.326, -6.157, -6.025, 0.0, 1.0, 10.0, 16.0]"
SULTHIAME,-6.404,"[-6.404, -5.306, -0.213, 0.0, 0.052, 0.779, 1.0, 10.0, 16.0]"
BRIVARACETAM,-6.395,"[-6.395, -5.857, -5.648, -5.251, -5.172, 0.0, 1.0, 10.0, 16.0]"
FENOPROFEN,-6.394,"[-6.394, -6.283, -5.93, -5.776, -5.722, 0.0, 1.0, 10.0, 16.0]"
MOLSIDOMINE,-6.393,"[-6.393, -5.697, -5.621, -4.846, -4.527, 0.0, 1.0, 10.0, 16.0]"
ZOLEDRONIC ACID ANHYDROUS,-6.393,"[-6.393, -6.293, -6.15, -5.79, -5.436, 0.0, 1.0, 10.0, 16.0]"
ETHOTOIN,-6.392,"[-6.392, -5.426, -5.265, -5.151, -4.917, 0.0, 1.0, 10.0, 16.0]"
