name,smiles,ml_score
BROMISOVALUM,CC(C)C(Br)C(=O)NC(N)=O,-4.954021845619641
BUFORMIN,CCCCNC(=N)NC(=N)N,-4.950079191885542
RADIUM DICHLORIDE,Cl[Ra]Cl,-4.943529052521684
FENPROPOREX,CC(Cc1ccccc1)NCCC#N,-4.9421968531574185
TARTARIC ACID,O=C(O)[C@H](O)[C@@H](O)C(=O)O,-4.938323511093811
PHENMETRAZINE HYDROCHLORIDE,CC1NCCOC1c1ccccc1.Cl,-4.932206173820748
FELBINAC,O=C(O)Cc1ccc(-c2ccccc2)cc1,-4.929843023883304
CHLORPHENESIN CARBAMATE,NC(=O)OCC(O)COc1ccc(Cl)cc1,-4.927927454976199
RADIUM RA 223 DICHLORIDE,Cl[223Ra]Cl,-4.926056772655873
MEQUINOL,COc1ccc(O)cc1,-4.92577229338561
MEBANAZINE,CC(NN)c1ccccc1,-4.924947726167604
PYRITHIONE ZINC,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],-4.924412936136306
MEFENOREX,CC(Cc1ccccc1)NCCCCl,-4.924101983416064
DIMETHYL FUMARATE,COC(=O)/C=C/C(=O)OC,-4.918088698795537
POLIHEXANIDE,CCCCCCNC(=N)NC(=N)N,-4.917587173604083
IODOHIPPURATE,O=C(O)CNC(=O)c1ccccc1I,-4.913818266007914
NOREPINEPHRINE,NC[C@H](O)c1ccc(O)c(O)c1,-4.913598977448469
SILVER NITRATE,O=[N+]([O-])[O-].[Ag+],-4.913539673221913
METYROSINE,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,-4.909496097211568
NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,-4.908180437965992
GUANABENZ ACETATE,CC(=O)O.N=C(N)N/N=C/c1c(Cl)cccc1Cl,-4.9073159867953695
CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,-4.901797632117605
SELENOMETHIONINE,C[Se]CC[C@H](N)C(=O)O,-4.900673224314279
AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O,-4.898618190267606
METHYL AMINOLEVULINATE HYDROCHLORIDE,COC(=O)CCC(=O)CN.Cl,-4.898030331806581
METHYL AMINOLEVULINATE,COC(=O)CCC(=O)CN,-4.896793289139914
FOSCARNET,O=C(O)P(=O)(O)O,-4.896105767251569
TAVABOROLE,OB1OCc2cc(F)ccc21,-4.891728843322305
METFORMIN HYDROCHLORIDE,CN(C)C(=N)NC(=N)N.Cl,-4.887821612229035
PENICILLAMINE,CC(C)(S)[C@@H](N)C(=O)O,-4.887037834373042
GUAIFENESIN,COc1ccccc1OCC(O)CO,-4.884487947844766
METFORMIN,CN(C)C(=N)NC(=N)N,-4.876415858495175
LACOSAMIDE,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,-4.872870884860182
ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,-4.87113414987998
METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1,-4.860612276285715
EPINEPHRINE,CNC[C@H](O)c1ccc(O)c(O)c1,-4.859568789111083
MEPHENTERMINE,CNC(C)(C)Cc1ccccc1,-4.858911516352353
SELENOMETHIONINE SE 75,C[75Se]CC[C@H](N)C(=O)O,-4.855957360668008
PHENELZINE SULFATE,NNCCc1ccccc1.O=S(=O)(O)O,-4.855231869314051
IBUFENAC,CC(C)Cc1ccc(CC(=O)O)cc1,-4.8539834401202375
BETAHISTINE HYDROCHLORIDE,CNCCc1ccccn1.Cl.Cl,-4.852130285358686
BRETYLIUM,CC[N+](C)(C)Cc1ccccc1Br,-4.850744747052389
METHOXAMINE HYDROCHLORIDE,COc1ccc(OC)c(C(O)C(C)N)c1.Cl,-4.845599538913775
HEXAMINOLEVULINATE,CCCCCCOC(=O)CCC(=O)CN,-4.841009956675043
EPHEDRINE,CN[C@@H](C)[C@H](O)c1ccccc1,-4.838715507898412
PSEUDOEPHEDRINE,CN[C@@H](C)[C@@H](O)c1ccccc1,-4.838715507898412
ZINC ACETATE ANHYDROUS,CC(=O)[O-].CC(=O)[O-].[Zn+2],-4.837288846176096
CALCIUM ACETATE,CC(=O)[O-].CC(=O)[O-].[Ca+2],-4.837047227128477
MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,-4.8369421144266
PHENOXYPROPAZINE,CC(COc1ccccc1)NN,-4.836320390804145
ACETANILIDE,CC(=O)Nc1ccccc1,-4.835557382844823
MAGNESIUM ACETATE,CC(=O)[O-].CC(=O)[O-].[Mg+2],-4.8355382271284775
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,-4.83512396504594
LEVONORDEFRIN,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,-4.834079433394016
PYRIDOSTIGMINE BROMIDE,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],-4.832390459161918
PHENTERMINE HYDROCHLORIDE,CC(C)(N)Cc1ccccc1.Cl,-4.831415372156582
IBUPROFEN SODIUM,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],-4.827994847776812
HEXYLRESORCINOL,CCCCCCc1ccc(O)cc1O,-4.82746108610099
EPHEDRINE HYDROCHLORIDE,CN[C@@H](C)[C@H](O)c1ccccc1.Cl,-4.827357856420551
PSEUDOEPHEDRINE HYDROCHLORIDE,CN[C@@H](C)[C@@H](O)c1ccccc1.Cl,-4.827357856420551
PHENTERMINE,CC(C)(N)Cc1ccccc1,-4.827236606283566
LISDEXAMFETAMINE,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,-4.824697380185071
SULFUR HEXAFLUORIDE,FS(F)(F)(F)(F)F,-4.822733864409316
LEVOCARNITINE,C[N+](C)(C)C[C@H](O)CC(=O)[O-],-4.820831747649084
LEVACETYLLEUCINE,CC(=O)N[C@@H](CC(C)C)C(=O)O,-4.815802081101279
MELPHALAN,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-4.815253835645033
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,-4.815101007580732
AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,-4.815101007580732
METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,-4.811549697855421
HEXAMINOLEVULINATE HYDROCHLORIDE,CCCCCCOC(=O)CCC(=O)CN.Cl,-4.810286295792666
BETHANECHOL CHLORIDE,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],-4.809384346011347
BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,-4.808891529904816
TIPIRACIL HYDROCHLORIDE,Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,-4.805703821977325
MECLOFENAMATE SODIUM,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],-4.800569295596525
BUFEXAMAC,CCCCOc1ccc(CC(=O)NO)cc1,-4.795329054959417
NAPROXEN SODIUM,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],-4.791901203665019
LORCASERIN HYDROCHLORIDE,C[C@H]1CNCCc2ccc(Cl)cc21.Cl,-4.791139748366018
DIETHYLPROPION,CCN(CC)C(C)C(=O)c1ccccc1,-4.78476107005085
BUCETIN,CCOc1ccc(NC(=O)CC(C)O)cc1,-4.783377360963457
PROPOFOL,CC(C)c1cccc(C(C)C)c1O,-4.779828264071993
HYDRALAZINE HYDROCHLORIDE,Cl.NNc1nncc2ccccc12,-4.776990482955596
TOCAINIDE,Cc1cccc(C)c1NC(=O)C(C)N,-4.776283161557396
XYLOSE,O=C[C@H](O)[C@@H](O)[C@H](O)CO,-4.77479929363843
TOCAINIDE HYDROCHLORIDE,Cc1cccc(C)c1NC(=O)C(C)N.Cl,-4.77458129489073
PRILOCAINE,CCCNC(C)C(=O)Nc1ccccc1C,-4.769946703554211
DIETHYLPROPION HYDROCHLORIDE,CCN(CC)C(C)C(=O)c1ccccc1.Cl,-4.769237444198316
RIVASTIGMINE,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,-4.768230565614655
VINBARBITAL,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,-4.7641395727118105
METAPROTERENOL,CC(C)NCC(O)c1cc(O)cc(O)c1,-4.76399143469818
PRILOCAINE HYDROCHLORIDE,CCCNC(C)C(=O)Nc1ccccc1C.Cl,-4.762641750806959
TAPENTADOL,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,-4.762226278207913
OXTRIPHYLLINE,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,-4.761511718154819
AMPHETAMINE ASPARTATE,CC(N)Cc1ccccc1.NC(CC(=O)O)C(=O)O,-4.759608090523839
ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,-4.7593483779186645
ACETYLCHOLINE,CC(=O)OCC[N+](C)(C)C,-4.752104875282511
ACETYLCHOLINE CHLORIDE,CC(=O)OCC[N+](C)(C)C.[Cl-],-4.750129721795969
CHLORAL BETAINE,C[N+](C)(C)CC(=O)[O-].OC(O)C(Cl)(Cl)Cl,-4.7457526780855686
TALBUTAL,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-4.743465372896032
CHLORPHENTERMINE,CC(C)(N)Cc1ccc(Cl)cc1,-4.742932603901338
