name,best_affinity,all_affinities
"methyl 2-(1,3-dioxoisoindol-2-yl)acetate",-8.471,"[-8.471, -8.088, -8.084, -7.847, -7.507, 0.0, 1.0, 10.0, 16.0]"
(2S)-3-methyl-2-(3-oxo-1H-isoindol-2-yl)butanoic a,-8.462,"[-8.462, -7.084, -6.615, -6.439, -6.037, 0.0, 1.0, 10.0, 16.0]"
"3-chloro-3-[(4-fluorophenyl)methyl]piperidine-2,6-",-8.456,"[-8.456, -7.859, -7.189, -7.175, -6.827, 0.0, 1.0, 10.0, 16.0]"
"4-azidonaphthalene-1,2-dione",-8.438,"[-8.438, -8.238, -8.012, -7.624, -7.455, 0.0, 1.0, 10.0, 16.0]"
"2-(2,5-dihydropyrrol-1-yl)naphthalene-1,4-dione",-8.434,"[-8.434, -7.997, -7.938, -7.611, -7.518, 0.0, 1.0, 10.0, 16.0]"
"3-(7-bromo-3-oxo-1H-isoindol-2-yl)piperidine-2,6-d",-8.42,"[-8.42, -6.973, -6.806, -6.58, -6.498, 0.0, 1.0, 10.0, 16.0]"
"trans-(1R,3R)-2,2-difluoro-3-phenylcyclopropane-1-",-8.407,"[-8.407, -8.176, -8.157, -8.022, -7.847, 0.0, 1.0, 10.0, 16.0]"
"3-(3-fluoro-5-iodophenyl)piperidine-2,6-dione",-8.407,"[-8.407, -5.309, -5.171, -5.012, -4.806, 0.0, 1.0, 10.0, 16.0]"
"4-(2-phenylethylamino)naphthalene-1,2-dione",-8.404,"[-8.404, -8.191, -7.382, -7.353, -2.534, 0.0, 1.0, 10.0, 16.0]"
"2-[(3S)-2,6-dioxopiperidin-3-yl]isoindole-1,3-dion",-8.382,"[-8.382, -7.933, -7.369, -7.207, -7.098, 0.0, 1.0, 10.0, 16.0]"
"N-(2,6-dioxopiperidin-3-yl)-2-phenylacetamide",-8.375,"[-8.375, -6.978, -6.471, -6.455, -5.772, 0.0, 1.0, 10.0, 16.0]"
2-cyclohexyl-3-oxo-1H-isoindole-4-carboxamide,-8.369,"[-8.369, -8.196, -7.591, -5.463, -5.382, 0.0, 1.0, 10.0, 16.0]"
2-[2-(trifluoromethyl)phenyl]acetamide,-8.359,"[-8.359, -8.22, -8.043, -7.985, -7.93, 0.0, 1.0, 10.0, 16.0]"
"2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindole-5-c",-8.352,"[-8.352, -7.742, -5.944, -5.643, -2.184, 0.0, 1.0, 10.0, 16.0]"
N-hydroxy-4-[3-(trifluoromethyl)phenyl]piperidine-,-8.351,"[-8.351, -7.729, -7.587, -7.31, -6.58, 0.0, 1.0, 10.0, 16.0]"
"4-(4-methylbenzoyl)piperazine-2,6-dione",-8.347,"[-8.347, -6.524, -6.447, -6.086, -5.778, 0.0, 1.0, 10.0, 16.0]"
"3-amino-4-(4-fluorobenzoyl)cyclobut-3-ene-1,2-dion",-8.33,"[-8.33, -8.3, -7.827, -7.728, -7.675, 0.0, 1.0, 10.0, 16.0]"
"2-methyl-3-(prop-2-ynylamino)naphthalene-1,4-dione",-8.328,"[-8.328, -6.801, -6.256, -5.185, -5.016, 0.0, 1.0, 10.0, 16.0]"
