name,best_affinity,z_score,hit_level,substructure,family,MW,LogP,HBA,HBD,TPSA,RotBonds,Rings,Carboxyl_count,Amide_count,Urea_count,smiles
CARTEOLOL,-6.374,-0.6119367924592267,L5_Weak,Carbonyl,Other,292.37899999999996,1.6990999999999998,4,3,70.58999999999999,5,2,0,1,0,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
DEXMETHYLPHENIDATE,-6.361,-0.6026184997485687,L5_Weak,Profens,Other,233.31099999999995,2.0852999999999997,3,1,38.33,3,2,1,0,0,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
NITROFURAZONE,-6.36,-0.6019017080015955,L5_Weak,Carbonyl,Other,198.13799999999998,0.19000000000000006,5,2,123.76,3,1,0,2,1,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
PROPAFENONE,-6.357,-0.5997513327606744,L5_Weak,Carbonyl,Other,341.4510000000001,3.2414000000000023,4,2,58.559999999999995,11,2,0,0,0,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
TYROSINE,-6.356,-0.5990345410137005,L5_Weak,Amino_acid,Amino_acid,181.19099999999997,0.3466,3,3,83.55,3,1,1,0,0,N[C@@H](Cc1ccc(O)cc1)C(=O)O
GABAPENTIN,-6.35,-0.5947337905318582,L5_Weak,Small_acid,Other,171.23999999999992,1.3702999999999994,2,2,63.32000000000001,3,1,1,0,0,NCC1(CC(=O)O)CCCCC1
AZELAIC ACID,-6.349,-0.5940169987848848,L5_Weak,Dicarboxylic_acid,Carboxylic_acid,188.22299999999998,1.8863,2,2,74.6,8,0,2,0,0,O=C(O)CCCCCCCC(=O)O
BENZPHETAMINE,-6.346,-0.5918666235439637,L5_Weak,Other,Other,239.36199999999997,3.7496000000000027,1,0,3.24,5,2,0,0,0,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
DROXIDOPA,-6.346,-0.5918666235439637,L5_Weak,Amino_acid,Amino_acid,213.189,-0.4569000000000002,5,5,124.01000000000002,3,1,1,0,0,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
MOLINDONE,-6.343,-0.5897162483030425,L5_Weak,Carbonyl,Other,276.38,1.96282,3,1,45.33,3,3,0,0,0,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
Sebacic_Acid,-6.334,-0.5564153233841759,L5_Weak,Dicarboxylic_acid,Carboxylic_acid,216.277,2.6665,2,2,74.6,10,0,2,0,0,C(CCCCCCCC(=O)O)CC(=O)O
NITAZOXANIDE,-6.334,-0.5832651225802791,L5_Weak,Carboxylic_acid,Other,307.28700000000003,2.2289000000000003,7,1,111.43,4,2,1,1,0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
SECNIDAZOLE,-6.318,-0.5717964546287,L5_Weak,N-heterocycle,Other,185.183,0.4805199999999999,4,1,81.19,3,1,0,0,0,Cc1ncc([N+](=O)[O-])n1CC(C)O
PRACTOLOL,-6.309,-0.5653453289059372,L5_Weak,Carbonyl,Other,266.34099999999995,1.3826999999999992,4,3,70.59,7,1,0,1,0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
