name,best_affinity,all_affinities,status
MEBUTAMATE,-6.76,"[-6.76, -6.482, -6.395, -6.219, -6.009, 0.0, 1.0, 10.0, 16.0]",
METHYLDOPA,-6.723,"[-6.723, -6.17, -5.98, -5.928, -5.537, 0.0, 1.0, 10.0, 16.0]",
CLOFIBRATE,-6.716,"[-6.716, -6.312, -6.055, -6.027, -5.918, 0.0, 1.0, 10.0, 16.0]",
METHOCARBAMOL,-6.704,"[-6.704, -6.57, -6.52, -6.371, -6.322, 0.0, 1.0, 10.0, 16.0]",
EZOGABINE,-6.68,"[-6.68, -6.176, -5.785, -5.554, -5.04, 0.0, 1.0, 10.0, 16.0]",
GABAPENTIN ENACARBIL,-6.631,"[-6.631, -5.891, -5.694, -5.624, -4.91, 0.0, 1.0, 10.0, 16.0]",success
GUANFACINE,-6.575,"[-6.575, -6.482, -6.073, -5.964, -5.381, 0.0, 1.0, 10.0, 16.0]",
FLUPIRTINE,-6.573,"[-6.573, -6.444, -6.255, -3.828, -2.62, 0.0, 1.0, 10.0, 16.0]",
OXAPROZIN,-6.568,"[-6.568, -6.567, -6.355, -5.933, -5.724, 0.0, 1.0, 10.0, 16.0]",
BUTAMBEN,-6.555,"[-6.555, -6.395, -6.385, -6.347, -6.338, 0.0, 1.0, 10.0, 16.0]",
CARBIDOPA ANHYDROUS,-6.536,"[-6.536, -6.412, -6.381, -6.303, -6.133, 0.0, 1.0, 10.0, 16.0]",
NICORANDIL,-6.536,"[-6.536, -6.433, -6.182, -6.16, -6.135, 0.0, 1.0, 10.0, 16.0]",
METHYLDOPATE,-6.516,"[-6.516, -6.078, -5.918, -5.78, -5.523, 0.0, 1.0, 10.0, 16.0]",
AGOMELATINE,-6.516,"[-6.516, -6.341, -6.339, -6.079, -5.908, 0.0, 1.0, 10.0, 16.0]",
DURLOBACTAM,-6.513,"[-6.513, -5.655, -5.146, -5.007, -4.904, 0.0, 1.0, 10.0, 16.0]",
IBUFENAC,-6.507,"[-6.507, -6.469, -6.449, -6.182, -5.734, 0.0, 1.0, 10.0, 16.0]",
CLOFOREX,-6.489,"[-6.489, -6.376, -6.317, -6.27, -6.073, 0.0, 1.0, 10.0, 16.0]",
MEPROBAMATE,-6.477,"[-6.477, -6.413, -6.238, -6.119, -6.092, 0.0, 1.0, 10.0, 16.0]",
DIETHYLPROPION,-6.446,"[-6.446, -6.094, -6.084, -5.794, -5.7, 0.0, 1.0, 10.0, 16.0]",
METHYL SALICYLATE,-6.374,"[-6.374, -6.352, -6.139, -6.078, -6.064, 0.0, 1.0, 10.0, 16.0]",
LEVACETYLLEUCINE,-6.364,"[-6.364, -6.328, -6.12, -6.083, -6.063, 0.0, 1.0, 10.0, 16.0]",
TAZOBACTAM,-6.359,"[-6.359, -6.043, -5.521, -5.436, -5.101, 0.0, 1.0, 10.0, 16.0]",success
AMINEPTINE,-6.35,"[-6.35, -5.429, -5.398, -5.319, -4.74, 0.0, 1.0, 10.0, 16.0]",
CARISOPRODOL,-6.314,"[-6.314, -6.141, -5.828, -5.785, -5.665, 0.0, 1.0, 10.0, 16.0]",
PRILOCAINE,-6.284,"[-6.284, -6.182, -6.08, -6.031, -5.675, 0.0, 1.0, 10.0, 16.0]",
BUPROPION,-6.277,"[-6.277, -5.744, -5.079, -5.039, -4.934, 0.0, 1.0, 10.0, 16.0]",
TETRACAINE,-6.276,"[-6.276, -5.668, -5.457, -5.402, -5.322, 0.0, 1.0, 10.0, 16.0]",
MIDODRINE,-6.272,"[-6.272, -6.168, -5.387, -5.307, -5.129, 0.0, 1.0, 10.0, 16.0]",
ESMOLOL,-6.261,"[-6.261, -5.944, -5.878, -5.569, -5.395, 0.0, 1.0, 10.0, 16.0]",
LIDOCAINE,-6.212,"[-6.212, -6.12, -5.848, -5.761, -5.696, 0.0, 1.0, 10.0, 16.0]",
CARGLUMIC ACID,-6.203,"[-6.203, -6.112, -6.07, -5.879, -5.786, 0.0, 1.0, 10.0, 16.0]",
PANTOTHENIC ACID,-6.2,"[-6.2, -5.954, -5.629, -5.597, -5.364, 0.0, 1.0, 10.0, 16.0]",
FAMCICLOVIR,-6.19,"[-6.19, -5.953, -5.951, -5.882, -5.792, 0.0, 1.0, 10.0, 16.0]",success
OXYCODONE,-6.172,"[-6.172, -2.648, -2.35, -1.93, 0.0, 1.0, 6.017, 10.0, 16.0]",success
HEXAMINOLEVULINATE,-6.161,"[-6.161, -5.648, -5.563, -5.492, -5.378, 0.0, 1.0, 10.0, 16.0]",
BUCETIN,-6.15,"[-6.15, -5.367, -5.241, -5.044, -4.908, 0.0, 1.0, 10.0, 16.0]",
BROMISOVALUM,-6.138,"[-6.138, -5.728, -5.64, -5.534, -5.42, 0.0, 1.0, 10.0, 16.0]",
