name,best_affinity,all_affinities,status
BEPOTASTINE,-2.614,"[-2.614, -1.091, 0.0, 0.371, 1.0, 1.392, 2.365, 10.0, 16.0]",success
INDECAINIDE,-2.61,"[-2.61, -2.349, -2.095, -1.8, -1.749, 0.0, 1.0, 10.0, 16.0]",
DOLASETRON,-2.593,"[-2.593, -2.398, -2.01, -1.903, -1.557, 0.0, 1.0, 10.0, 16.0]",
DIAZEPAM,-2.578,"[-2.578, 0.0, 0.197, 1.0, 2.931, 3.468, 10.0, 16.0, 39.47]",
TAFAMIDIS,-2.444,"[-2.444, -2.189, 0.0, 1.0, 1.544, 1.742, 3.55, 10.0, 16.0]",success
NALTREXONE,-2.411,"[-2.411, -2.184, -1.465, -0.959, 0.0, 0.159, 1.0, 10.0, 16.0]",success
OXYPHENISATINE,-2.367,"[-2.367, -2.045, -0.423, -0.198, -0.11, 0.0, 1.0, 10.0, 16.0]",
PIXANTRONE,-2.33,"[-2.33, -2.324, -1.831, -0.47, -0.394, 0.0, 1.0, 10.0, 16.0]",success
PIRENZEPINE,-2.32,"[-2.32, 0.0, 0.777, 1.0, 1.316, 2.752, 3.179, 10.0, 16.0]",success
FEBUXOSTAT,-2.28,"[-2.28, -2.157, 0.0, 1.0, 1.503, 1.561, 2.456, 10.0, 16.0]",
TIBOLONE,-2.27,"[-2.27, 0.0, 0.184, 1.0, 3.586, 7.112, 7.421, 10.0, 16.0]",success
CEPHAPIRIN,-2.247,"[-2.247, -0.78, 1.0, 1.082, 1.466, 1.956, 10.0, 16.0]",success
METHANTHELINE,-2.227,"[-2.227, -0.122, 0.0, 0.757, 1.0, 1.235, 1.819, 10.0, 16.0]",
CEPHALEXIN ANHYDROUS,-2.222,"[-2.222, -1.811, 0.0, 1.0, 1.147, 3.286, 3.293, 10.0, 16.0]",
ETODOLAC,-2.172,"[-2.172, -2.149, -0.563, 0.0, 0.902, 1.0, 2.617, 10.0, 16.0]",
DORIPENEM,-2.154,"[-2.154, -1.184, -0.447, -0.307, -0.285, 1.0, 10.0, 16.0]",success
ISOPROPAMIDE,-2.054,"[-2.054, -1.538, 0.0, 0.501, 1.0, 3.029, 3.126, 10.0, 16.0]",
SULFISOXAZOLE ACETYL,-2.02,"[-2.02, -1.823, -1.48, -1.248, -0.664, 0.0, 1.0, 10.0, 16.0]",
ENCAINIDE,-1.999,"[-1.999, -1.665, -1.342, -1.141, -0.1, 0.0, 1.0, 10.0, 16.0]",success
TEMAZEPAM,-1.982,"[-1.982, 0.0, 0.491, 1.0, 2.813, 3.403, 3.695, 10.0, 16.0]",
LEVONORGESTREL,-1.875,"[-1.875, -0.935, 0.0, 1.0, 4.019, 8.428, 8.958, 10.0, 16.0]",success
NEVIRAPINE,-1.798,"[-1.798, -1.267, -1.137, -0.584, -0.268, 0.0, 1.0, 10.0, 16.0]",
OCTOCRYLENE,-1.791,"[-1.791, -1.567, -1.23, -1.2, -0.804, 0.0, 1.0, 10.0, 16.0]",success
ANILERIDINE,-1.753,"[-1.753, -1.472, -1.388, 1.0, 10.0, 16.0]",success
FENOFIBRIC ACID,-1.648,"[-1.648, -1.2, -1.082, 0.0, 0.754, 1.0, 2.041, 10.0, 16.0]",
CEFACLOR ANHYDROUS,-1.647,"[-1.647, -1.478, -0.335, 0.0, 0.093, 1.0, 1.218, 10.0, 16.0]",
INDOPROFEN,-1.627,"[-1.627, -0.659, 0.0, 0.181, 0.71, 1.0, 1.064, 10.0, 16.0]",
PROPIOMAZINE,-1.624,"[-1.624, -0.894, -0.293, 0.0, 0.499, 1.0, 10.0, 16.0, 32.31]",success
ATALUREN,-1.571,"[-1.571, -1.272, -0.66, -0.065, 0.0, 1.0, 1.968, 10.0, 16.0]",success
CEFUROXIME,-1.544,"[-1.544, -1.209, -0.702, 0.607, 1.0, 3.57, 10.0, 16.0]",success
PENICILLIN V,-1.51,"[-1.51, -1.387, -1.22, 0.0, 0.114, 0.455, 1.0, 10.0, 16.0]",success
KETANSERIN,-1.488,"[-1.488, -1.281, 0.209, 0.578, 0.681, 1.0, 10.0, 16.0]",success
CHLORTHALIDONE,-1.461,"[-1.461, -1.066, -0.311, 0.0, 0.576, 1.0, 1.358, 10.0, 16.0]",
BENDAMUSTINE,-1.434,"[-1.434, -1.098, -0.531, 0.0, 0.53, 1.0, 10.0, 16.0, 76.76]",
CIPROFLOXACIN,-1.337,"[-1.337, -0.6, -0.07, 0.0, 0.391, 1.0, 2.159, 10.0, 16.0]",
AMLEXANOX,-1.326,"[-1.326, -0.802, 0.0, 1.0, 1.074, 1.763, 6.191, 10.0, 16.0]",success
PHENYLBUTAZONE,-1.322,"[-1.322, -1.097, -1.038, -1.01, 0.0, 1.0, 1.367, 10.0, 16.0]",
ZOLPIDEM,-1.256,"[-1.256, -0.184, 0.0, 1.0, 2.345, 10.0, 16.0]",success
OXYPHENBUTAZONE ANHYDROUS,-1.239,"[-1.239, -0.713, 0.0, 0.052, 0.325, 0.812, 1.0, 10.0, 16.0]",
BECLOBRATE,-1.237,"[-1.237, -0.251, -0.198, 0.0, 0.403, 0.632, 1.0, 10.0, 16.0]",success
ENOXACIN,-1.225,"[-1.225, 0.0, 0.016, 0.417, 0.763, 0.773, 1.0, 10.0, 16.0]",
TETRABENAZINE,-1.19,"[-1.19, 0.0, 0.23, 0.311, 1.0, 1.029, 1.176, 10.0, 16.0]",success
PHENOLPHTHALEIN,-1.186,"[-1.186, -0.737, -0.514, -0.266, 0.0, 0.311, 1.0, 10.0, 16.0]",success
ACETOHEXAMIDE,-1.165,"[-1.165, -0.331, 0.0, 1.0, 1.04, 2.798, 3.867, 10.0, 16.0]",
PENICILLIN G,-1.163,"[-1.163, -0.234, 0.0, 0.385, 1.0, 2.333, 2.529, 10.0, 16.0]",success
ETONOGESTREL,-1.099,"[-1.099, -0.203, 0.0, 1.0, 5.402, 8.782, 10.0, 11.87, 16.0]",success
PIPAMAZINE,-1.046,"[-1.046, 0.0, 0.33, 1.0, 1.462, 2.082, 2.231, 10.0, 16.0]",success
PRASTERONE,-1.038,"[-1.038, 0.073, 0.774, 1.0, 1.336, 2.825, 10.0, 16.0]",success
SULPIRIDE,-1.033,"[-1.033, -0.05, 0.0, 0.272, 0.368, 0.485, 1.0, 10.0, 16.0]",
PROPANTHELINE,-1.018,"[-1.018, -0.646, -0.589, -0.486, -0.179, 0.0, 1.0, 10.0, 16.0]",success
AZTREONAM,-1.005,"[-1.005, 0.179, 0.47, 1.0, 2.215, 5.054, 10.0, 16.0]",success
OXANDROLONE,-0.924,"[-0.924, 0.215, 0.492, 1.0, 2.309, 4.142, 10.0, 16.0]",success
RUCAPARIB,-0.735,"[-0.735, 0.0, 1.0, 5.565, 6.058, 7.482, 8.58, 10.0, 16.0]",success
RELEBACTAM ANHYDROUS,-0.691,"[-0.691, -0.138, 0.0, 0.349, 1.0, 2.208, 2.916, 10.0, 16.0]",success
METHYLERGONOVINE,-0.688,"[-0.688, 0.0, 0.189, 1.0, 3.133, 6.11, 10.0, 16.0, 41.57]",success
ALOSETRON,-0.678,"[-0.678, 0.0, 0.361, 1.0, 1.062, 1.453, 3.933, 10.0, 16.0]",
SIMVASTATIN,-0.632,"[-0.632, 1.0, 1.235, 1.633, 2.361, 10.0, 16.0]",success
FLURAZEPAM,-0.572,"[-0.572, 0.0, 0.894, 1.0, 1.337, 1.34, 10.0, 16.0]",success
MESTEROLONE,-0.516,"[-0.516, 1.0, 1.53, 4.325, 4.878, 5.213, 10.0, 16.0]",success
FEPRAZONE,-0.482,"[-0.482, 0.0, 1.0, 1.22, 2.257, 2.587, 3.422, 10.0, 16.0]",
TIAGABINE,-0.458,"[-0.458, -0.157, 1.0, 5.646, 7.357, 7.517, 10.0, 16.0]",success
CEFTIZOXIME,-0.152,"[-0.152, 1.0, 1.695, 2.856, 3.57, 4.35, 10.0, 16.0]",success
ZALEPLON,-0.112,"[-0.112, 0.0, 1.0, 2.348, 2.798, 3.243, 3.3, 10.0, 16.0]",success
TESTOSTERONE,-0.088,"[-0.088, 0.873, 1.0, 1.747, 1.783, 3.005, 10.0, 16.0]",success
OFLOXACIN,0.0,"[0.0, 1.0, 3.458, 4.576, 5.451, 7.706, 9.776, 10.0, 16.0]",success
GRANISETRON,0.0,"[0.0, 1.0, 2.447, 4.411, 4.498, 5.346, 7.091, 10.0, 16.0]",
FENOFIBRATE,0.0,"[0.0, 0.026, 0.601, 1.0, 2.148, 2.257, 3.487, 10.0, 16.0]",success
LEVOFLOXACIN ANHYDROUS,0.0,"[0.0, 1.0, 3.416, 4.5, 5.746, 7.732, 7.91, 10.0, 16.0]",success
PRAZEPAM,0.0,"[0.0, 1.0, 2.347, 3.65, 4.024, 4.851, 5.369, 10.0, 16.0]",
NIRAPARIB,0.0,"[0.0, 1.0, 10.0, 11.87, 15.58, 15.75, 15.92, 16.0]",
METOLAZONE,0.0,"[0.0, 1.0, 2.701, 4.894, 7.201, 10.0, 13.95, 16.0, 92.02]",success
ETRETINATE,0.0,"[0.0, 1.0, 10.0, 14.44, 15.03, 15.27, 16.0, 18.63, 18.67]",success
AMDINOCILLIN,0.0,"[0.0, 1.0, 1.486, 2.559, 3.72, 3.778, 3.876, 10.0, 16.0]",success
TRIMETHAPHAN,0.0,"[0.0, 0.089, 1.0, 3.501, 3.546, 3.579, 3.581, 10.0, 16.0]",success
FLUORESCEIN,0.0,"[0.0, 0.79, 1.0, 1.181, 1.188, 1.526, 2.092, 10.0, 16.0]",success
MELOXICAM,0.0,"[0.0, 1.0, 1.411, 3.013, 4.259, 4.818, 5.557, 10.0, 16.0]",success
OLOPATADINE,0.0,"[0.0, 1.0, 3.51, 3.802, 5.644, 6.468, 7.31, 10.0, 16.0]",
LOMEFLOXACIN,0.0,"[0.0, 1.0, 3.548, 3.832, 3.93, 4.484, 5.075, 10.0, 16.0]",success
CAPECITABINE,0.0,"[0.0, 1.0, 1.167, 1.862, 2.221, 2.353, 2.391, 10.0, 16.0]",success
FENTANYL,0.0,"[0.0, 1.0, 1.164, 1.789, 8.517, 10.0, 16.0]",success
MEBENDAZOLE,0.0,"[0.0, 0.847, 1.0, 2.551, 2.952, 5.293, 5.53, 10.0, 16.0]",success
CEPHRADINE,0.0,"[0.0, 1.0, 1.051, 1.474, 1.854, 6.176, 10.0, 16.0, 48.31]",success
ISOXICAM,0.0,"[0.0, 0.654, 0.698, 1.0, 1.415, 2.218, 4.105, 10.0, 16.0]",success
DEUTETRABENAZINE,0.0,"[0.0, 1.0, 3.577, 4.205, 5.103, 9.103, 10.0, 15.21, 16.0]",success
METHANDROSTENOLONE,0.0,"[0.0, 1.0, 1.461, 4.311, 4.523, 5.497, 6.657, 10.0, 16.0]",success
EXEMESTANE,0.0,"[0.0, 0.989, 1.0, 2.49, 2.757, 3.542, 3.982, 10.0, 16.0]",success
TESTOLACTONE,0.0,"[0.0, 1.0, 1.242, 3.415, 5.063, 5.348, 6.114, 10.0, 16.0]",success
GOSOGLIPTIN,0.0,"[0.0, 1.0, 9.753, 10.0, 10.12, 12.1, 13.46, 16.0, 16.16]",success
ZOPICLONE,0.0,"[0.0, 1.0, 1.637, 2.096, 2.431, 2.527, 10.0, 16.0]",success
TADALAFIL,0.0,"[0.0, 1.0, 10.0, 14.39, 15.87, 16.0, 16.27, 17.47, 20.28]",success
REPOTRECTINIB,0.0,"[0.0, 1.0, 2.664, 4.32, 8.857, 9.609, 9.809, 10.0, 16.0]",success
IOFLUPANE,0.0,"[0.0, 0.182, 0.992, 1.0, 1.518, 10.0, 16.0]",success
METHYSERGIDE,0.0,"[0.0, 1.0, 3.274, 7.047, 7.661, 9.075, 10.0, 10.85, 16.0]",success
SOLIFENACIN,0.0,"[0.0, 0.528, 1.0, 1.157, 1.619, 4.904, 6.305, 10.0, 16.0]",success
DANTROLENE,0.0,"[0.0, 1.0, 6.855, 7.89, 10.0, 10.35, 16.0]",success
LINEZOLID,0.0,"[0.0, 1.0, 4.217, 5.013, 8.761, 8.862, 10.0, 16.0]",success
DIBUCAINE,0.0,"[0.0, 0.853, 1.0, 2.292, 2.857, 2.973, 3.372, 10.0, 16.0]",
LORMETAZEPAM,0.0,"[0.0, 1.0, 1.264, 1.453, 8.388, 10.0, 16.0]",
PALONOSETRON,0.0,"[0.0, 0.582, 1.0, 1.917, 2.473, 2.836, 3.744, 10.0, 16.0]",
AMPICILLIN,0.0,"[0.0, 1.0, 1.114, 1.488, 1.671, 10.0, 16.0]",success
ATOVAQUONE,0.0,"[0.0, 1.0, 10.0, 16.0, 19.67, 20.26, 20.8]",success
BENOXAPROFEN,0.0,"[0.0, 1.0, 2.853, 4.61, 10.0, 16.0, 24.3]",success
NORGESTREL,0.0,"[0.0, 1.0, 1.185, 2.817, 3.97, 8.882, 10.0, 10.38, 16.0]",success
KETAZOLAM,0.0,"[0.0, 0.405, 1.0, 3.218, 4.311, 4.678, 5.529, 10.0, 16.0]",success
CLORAZEPIC ACID,0.0,"[0.0, 1.0, 3.053, 4.48, 6.553, 7.608, 10.0, 10.11, 16.0]",
CLOTIAZEPAM,0.0,"[0.0, 1.0, 3.592, 4.938, 5.107, 5.3, 7.359, 10.0, 16.0]",
PRAZIQUANTEL,0.0,"[0.0, 0.694, 0.864, 1.0, 3.182, 3.744, 4.447, 10.0, 16.0]",
REMOXIPRIDE,0.0,"[0.0, 1.0, 1.537, 4.049, 4.436, 4.555, 5.245, 10.0, 16.0]",
METHYLTESTOSTERONE,0.0,"[0.0, 0.711, 1.0, 2.737, 3.323, 3.391, 4.26, 10.0, 16.0]",success
DIENOGEST,0.0,"[0.0, 0.28, 1.0, 1.943, 2.472, 6.295, 6.46, 10.0, 16.0]",success
BALSALAZIDE,0.0,"[0.0, 1.0, 10.0, 11.99, 13.54, 13.58, 13.6, 15.16, 16.0]",success
ACITRETIN,0.0,"[0.0, 1.0, 8.326, 8.361, 8.444, 9.436, 10.0, 16.0]",
GREPAFLOXACIN,0.0,"[0.0, 1.0, 4.514, 4.66, 5.879, 5.888, 6.909, 10.0, 16.0]",success
IOFLUPANE I 123,0.0,"[0.0, 0.26, 0.448, 0.978, 1.0, 1.392, 10.0, 16.0]",success
BORTEZOMIB,0.0,"[0.0, 1.0, 16.0]",success
CEFADROXIL,0.0,"[0.0, 1.0, 1.856, 1.884, 2.3, 10.0, 16.0]",success
ELAFIBRANOR,0.0,"[0.0, 1.0, 10.0, 15.32, 15.34, 15.6, 15.78, 16.0, 16.08]",success
BROMAZEPAM,0.0,"[0.0, 1.0, 6.832, 7.267, 7.843, 8.703, 8.735, 10.0, 16.0]",
LORAZEPAM,0.0,"[0.0, 1.0, 1.478, 1.581, 3.463, 5.005, 5.321, 10.0, 16.0]",
VABORBACTAM,0.0,"[0.0, 1.0, 16.0]",
ACETARSONE,0.0,"[0.0, 1.0, 16.0]",
DAROLUTAMIDE,0.201,"[0.201, 0.757, 1.0, 2.893, 4.21, 4.981, 10.0, 16.0]",success
UPADACITINIB,0.423,"[0.423, 1.0, 1.671, 4.952, 5.812, 6.599, 10.0, 16.0]",success
FLAVOXATE,0.513,"[0.513, 0.712, 1.0, 2.0, 3.724, 3.771, 10.0, 16.0]",success
CLOMETACIN,0.588,"[0.588, 1.0, 1.64, 2.197, 2.207, 2.399, 10.0, 16.0]",success
FLUOXYMESTERONE,0.793,"[0.793, 1.0, 2.399, 2.579, 4.173, 6.6, 10.0, 16.0]",success
OXACILLIN,0.866,"[0.866, 1.0, 5.041, 5.664, 6.375, 8.165, 10.0, 16.0]",success
TAURURSODIOL,1.0,"[1.0, 9.487, 10.0, 10.24, 10.89, 12.86, 13.15, 16.0]",success
CHOLIC ACID,1.0,"[1.0, 6.674, 7.253, 8.796, 10.0, 11.96, 16.0, 25.09]",success
URSODIOL,1.0,"[1.0, 7.06, 8.44, 8.801, 10.0, 13.11, 16.0]",success
CHENODIOL,1.0,"[1.0, 7.458, 7.912, 8.146, 9.358, 10.0, 12.61, 16.0]",success
OBETICHOLIC ACID,1.0,"[1.0, 9.991, 10.0, 11.35, 14.47, 15.52, 16.0, 16.1]",success
DEOXYCHOLIC ACID,1.0,"[1.0, 6.711, 9.108, 9.406, 9.806, 10.0, 12.91, 16.0]",success
REGADENOSON ANHYDROUS,1.0,"[1.0, 7.201, 8.263, 8.769, 9.267, 9.636, 10.0, 16.0]",success
PREDNISOLONE PHOSPHORIC ACID,1.0,"[1.0, 10.0, 11.17, 13.45, 13.87, 14.51, 16.0]",success
HYDROCORTISONE PHOSPHORIC ACID,1.0,"[1.0, 9.75, 10.0, 14.5, 15.38, 15.61, 16.0, 22.74]",success
PREDNISOLONE TEBUTATE,1.0,"[1.0, 10.0, 13.6, 13.89, 14.12, 14.82, 16.0]",success
LOTEPREDNOL ETABONATE,1.0,"[1.0, 6.833, 10.0, 11.19, 11.38, 11.98, 16.0]",success
MOMELOTINIB,1.0,"[1.0, 10.0, 16.0, 39.88, 40.92, 41.25]",success
DEXAMETHASONE PHOSPHORIC ACID,1.0,"[1.0, 10.0, 15.22, 16.0, 17.52, 17.66, 19.42, 73.75]",success
TESTOSTERONE CYPIONATE,1.0,"[1.0, 9.325, 9.614, 10.0, 15.22, 15.26, 16.0, 26.97]",success
BETAMETHASONE PHOSPHORIC ACID,1.0,"[1.0, 10.0, 13.36, 16.0, 17.21, 17.45, 18.76]",success
TEDIZOLID,1.0,"[1.0, 10.0, 16.0, 19.91, 20.7]",success
HETACILLIN,1.0,"[1.0, 1.434, 3.816, 3.868, 4.026, 5.086, 10.0, 16.0]",success
BICTEGRAVIR,1.0,"[1.0, 10.0, 16.0, 22.21]",success
CABERGOLINE,1.0,"[1.0, 6.308, 8.779, 10.0, 10.27, 10.61, 11.72, 16.0]",success
CANRENONE,1.0,"[1.0, 5.921, 10.0, 11.97, 12.46, 16.0, 16.89, 17.29]",success
OXYMETHOLONE,1.0,"[1.0, 3.164, 3.594, 3.622, 7.371, 10.0, 11.37, 16.0]",success
CABOTEGRAVIR,1.0,"[1.0, 10.0, 14.02, 16.0, 18.4, 20.07, 22.58, 24.38]",success
FEZOLINETANT,1.0,"[1.0, 9.064, 10.0, 10.67, 16.0, 18.62, 19.38, 19.61]",success
NOMEGESTROL,1.0,"[1.0, 3.755, 6.873, 7.509, 7.544, 10.0, 10.88, 16.0]",success
LASMIDITAN,1.0,"[1.0, 3.275, 4.133, 4.494, 10.0, 16.0, 17.93]",success
ROXADUSTAT,1.0,"[1.0, 8.312, 10.0, 16.0]",success
CEPHALOGLYCIN,1.0,"[1.0, 2.932, 2.964, 3.114, 4.778, 10.0, 16.0, 56.1]",success
ZIPRASIDONE,1.0,"[1.0, 2.702, 3.044, 3.224, 3.384, 4.377, 10.0, 16.0]",success
TEMAFLOXACIN,1.0,"[1.0, 10.0, 10.23, 16.0]",success
MORICIZINE,1.0,"[1.0, 2.88, 4.817, 4.97, 5.775, 8.319, 10.0, 16.0]",success
"CEFPROZIL ANHYDROUS, (E)-",1.0,"[1.0, 3.722, 6.858, 7.665, 8.71, 8.81, 10.0, 16.0]",success
CEFAMANDOLE NAFATE FREE BASE,1.0,"[1.0, 2.526, 3.94, 6.202, 10.0, 10.02, 13.7, 16.0]",success
CYCLOFENIL,1.0,"[1.0, 6.564, 7.842, 10.0, 16.0, 19.34]",success
SERTINDOLE,1.0,"[1.0, 10.0, 16.0, 16.32, 17.0, 18.27, 18.58, 18.8]",success
MOXIFLOXACIN,1.0,"[1.0, 9.581, 10.0, 10.96, 12.08, 16.0, 24.54]",success
LORATADINE,1.0,"[1.0, 10.0, 12.7, 14.05, 16.0, 16.06, 17.63, 17.89]",success
COLCHICINE,1.0,"[1.0, 5.044, 5.861, 6.359, 7.777, 8.351, 10.0, 16.0]",success
TECOVIRIMAT,1.0,"[1.0, 10.0, 11.05, 12.74, 14.27, 16.0]",success
AXITINIB,1.0,"[1.0, 10.0, 16.0]",success
DACOMITINIB ANHYDROUS,1.0,"[1.0, 10.0, 16.0]",success
VAMOROLONE,1.0,"[1.0, 6.608, 9.746, 10.0, 10.98, 12.69, 16.0, 18.92]",success
INDIGOTINDISULFONATE,1.0,"[1.0, 10.0, 16.0, 30.8, 32.91]",success
PROGESTERONE,1.0,"[1.0, 2.706, 4.694, 5.604, 5.909, 10.0, 13.0, 16.0]",success
SPARFLOXACIN,1.0,"[1.0, 10.0, 10.06, 10.17, 10.28, 10.35, 16.0]",success
ROFLUMILAST,1.0,"[1.0, 1.338, 1.655, 2.1, 2.254, 3.864, 10.0, 16.0]",success
CEFDINIR,1.0,"[1.0, 1.906, 2.515, 4.741, 6.413, 10.0, 16.0]",success
TROVAFLOXACIN,1.0,"[1.0, 10.0, 11.79, 13.6, 14.65, 14.66, 16.0]",success
DYDROGESTERONE,1.0,"[1.0, 3.328, 3.738, 5.925, 6.752, 10.0, 12.85, 16.0]",success
DOLUTEGRAVIR,1.0,"[1.0, 10.0, 16.0, 18.4, 21.07, 23.35, 25.06, 25.46]",success
RIMONABANT,1.0,"[1.0, 10.0, 15.25, 15.69, 16.0, 17.76, 19.55]",success
SULFASALAZINE,1.0,"[1.0, 9.023, 10.0, 12.2, 14.22, 16.0]",success
MOZAVAPTAN,1.0,"[1.0, 10.0, 16.0, 27.58, 29.25, 29.37, 31.65]",success
BENZHYDROCODONE,1.0,"[1.0, 1.462, 3.113, 4.724, 4.859, 5.172, 10.0, 16.0]",success
DOXAZOSIN,1.0,"[1.0, 10.0, 16.0, 43.68, 45.83, 47.54, 48.08, 49.16]",success
PREDNISONE,1.0,"[1.0, 3.051, 5.505, 7.838, 7.883, 8.324, 10.0, 16.0]",success
NABILONE,1.0,"[1.0, 2.163, 3.238, 4.994, 5.814, 6.046, 10.0, 16.0]",success
PRAZOSIN,1.0,"[1.0, 10.0, 16.0, 25.15, 29.95]",success
BEXAROTENE,1.0,"[1.0, 5.106, 7.953, 8.294, 10.0, 12.33, 16.0, 20.85]",success
ESTRADIOL VALERATE,1.0,"[1.0, 2.837, 5.212, 6.0, 8.361, 9.704, 10.0, 16.0]",success
NORGESTIMATE,1.0,"[1.0, 10.0, 11.11, 11.33, 11.82, 14.42, 16.0]",success
TESTOSTERONE PROPIONATE,1.0,"[1.0, 4.932, 5.796, 8.786, 8.874, 10.0, 10.82, 16.0]",success
MEDROGESTONE,1.0,"[1.0, 8.453, 9.545, 10.0, 12.28, 13.38, 16.0, 17.38]",success
METHICILLIN,1.0,"[1.0, 1.945, 2.041, 3.691, 3.755, 3.994, 10.0, 16.0]",success
PREDNISOLONE,1.0,"[1.0, 2.998, 4.413, 7.582, 9.142, 10.0, 10.39, 16.0]",success
TOPOTECAN,1.0,"[1.0, 10.0, 16.0, 28.62, 30.82, 32.34, 32.57, 37.68]",success
FLUOCORTOLONE,1.0,"[1.0, 8.065, 8.755, 10.0, 12.25, 13.09, 13.33, 16.0]",success
GANAXOLONE,1.0,"[1.0, 5.609, 8.084, 8.797, 10.0, 11.69, 16.0, 19.39]",success
MEPREDNISONE,1.0,"[1.0, 5.621, 8.615, 10.0, 10.02, 12.44, 12.89, 16.0]",success
TAMIBAROTENE,1.0,"[1.0, 10.0, 13.06, 16.0]",success
DESOXIMETASONE,1.0,"[1.0, 4.131, 10.0, 10.76, 11.37, 11.58, 11.82, 16.0]",success
PALBOCICLIB,1.0,"[1.0, 10.0, 16.0, 31.84, 33.33, 34.02]",success
LAROTRECTINIB,1.0,"[1.0, 10.0, 16.0, 20.18, 28.55, 30.29, 31.07]",success
ALPIDEM,1.0,"[1.0, 1.489, 2.581, 10.0, 16.0]",success
MEDRYSONE,1.0,"[1.0, 3.821, 6.532, 7.42, 8.649, 10.0, 11.98, 16.0]",success
DASATINIB ANHYDROUS,1.0,"[1.0, 10.0, 16.0, 34.03, 35.14, 35.4, 36.9, 37.87]",success
PARECOXIB,1.0,"[1.0, 5.632, 6.316, 6.329, 6.394, 6.699, 10.0, 16.0]",success
APALUTAMIDE,1.0,"[1.0, 10.0, 16.0, 25.77, 26.13, 26.66, 26.71, 26.77]",success
FINASTERIDE,1.0,"[1.0, 10.0, 16.0, 17.07, 18.97, 20.02, 20.14]",success
FLUNISOLIDE,1.0,"[1.0, 10.0, 16.0, 17.57, 18.15, 18.83]",success
RIMEXOLONE,1.0,"[1.0, 10.0, 10.61, 13.47, 13.89, 13.92, 16.0]",success
INGENOL MEBUTATE,1.0,"[1.0, 3.237, 4.61, 10.0, 16.0]",success
OXYTETRACYCLINE,1.0,"[1.0, 10.0, 10.32, 16.0, 17.92, 18.81, 21.37, 25.57]",success
ADAPALENE,1.0,"[1.0, 10.0, 16.0, 21.8, 25.13]",success
TRIAMCINOLONE,1.0,"[1.0, 5.975, 8.841, 9.543, 10.0, 10.28, 14.27, 16.0]",success
DELAFLOXACIN,1.0,"[1.0, 9.992, 10.0, 10.17, 10.31, 10.79, 16.0]",success
TRIAMCINOLONE ACETONIDE,1.0,"[1.0, 10.0, 16.0, 16.44, 17.46, 19.24, 21.13, 21.69]",success
BETAMETHASONE,1.0,"[1.0, 7.906, 9.477, 10.0, 13.44, 16.0, 16.11, 20.14]",success
GLIBORNURIDE,1.0,"[1.0, 2.386, 3.564, 3.911, 4.213, 4.257, 10.0, 16.0]",success
DEXAMETHASONE,1.0,"[1.0, 7.259, 10.0, 10.86, 11.71, 12.13, 16.0, 55.99]",success
FLUOCINOLONE ACETONIDE,1.0,"[1.0, 10.0, 16.0, 18.51, 19.3, 22.29, 55.78]",success
HYDROCORTISONE,1.0,"[1.0, 3.296, 6.116, 6.686, 7.93, 8.269, 10.0, 16.0]",success
DEMECLOCYCLINE,1.0,"[1.0, 10.0, 16.0, 22.43, 22.45, 23.49, 23.79, 25.61]",success
VERICIGUAT,1.0,"[1.0, 10.0, 15.12, 15.62, 16.0, 16.61, 16.75]",success
TESTOSTERONE ENANTHATE,1.0,"[1.0, 9.059, 10.0, 10.19, 11.72, 11.81, 16.0, 22.13]",success
ESTRADIOL CYPIONATE,1.0,"[1.0, 5.304, 8.7, 8.774, 9.601, 10.0, 11.85, 16.0]",success
BETAMETHASONE VALERATE,1.0,"[1.0, 10.0, 11.04, 11.44, 11.54, 12.53, 14.05, 16.0]",success
CHLORTETRACYCLINE,1.0,"[1.0, 10.0, 16.0, 17.59, 23.08]",success
NANDROLONE PHENPROPIONATE,1.0,"[1.0, 9.629, 10.0, 11.33, 11.81, 12.36, 14.2, 16.0]",success
LEVOCABASTINE,1.0,"[1.0, 10.0, 16.0, 20.65, 24.36]",success
FLUOROMETHOLONE,1.0,"[1.0, 4.952, 7.636, 10.0, 10.47, 13.23, 16.0, 16.41]",success
DROSPIRENONE,1.0,"[1.0, 10.0, 10.25, 13.24, 14.84, 16.0, 17.87, 22.79]",success
DESONIDE,1.0,"[1.0, 10.0, 16.0, 16.33, 19.02, 19.39, 21.03, 42.67]",success
IBRUTINIB,1.0,"[1.0, 10.0, 16.0, 26.02, 27.4]",success
RIOCIGUAT,1.0,"[1.0, 10.0, 16.0, 18.59, 18.76, 20.08, 20.58, 22.14]",success
FLUOCINONIDE,1.0,"[1.0, 10.0, 16.0, 19.5, 20.14, 24.03, 79.1]",success
BUDESONIDE,1.0,"[1.0, 10.0, 13.76, 13.95, 15.47, 16.0, 16.8]",success
LORLATINIB,1.0,"[1.0, 10.0, 13.46, 15.61, 16.0, 20.29, 24.0, 24.94]",success
CAPMATINIB,1.0,"[1.0, 10.0, 11.65, 11.94, 12.41, 12.82, 14.19, 16.0]",success
FLUPREDNISOLONE,1.0,"[1.0, 3.917, 6.845, 9.084, 10.0, 10.55, 12.04, 16.0]",success
METHYLPREDNISOLONE,1.0,"[1.0, 5.31, 7.658, 9.857, 10.0, 10.75, 12.31, 16.0]",success
