name,best_affinity,round,exhaustiveness,z_score,hit_level
RASAGILINE,-6.981,R4,16,-1.0989683681503182,L4_BiotinLike
ATENOLOL,-6.978,R5-FDA,16,-1.0777352821725381,L4_BiotinLike
METAXALONE,-6.971,R4,16,-1.0911072842128169,L4_BiotinLike
PHENMETRAZINE,-6.97,R4,16,-1.0903211758190663,L4_BiotinLike
CHLORPHENESIN CARBAMATE,-6.959,R5-FDA,16,-1.0687841270909921,L4_BiotinLike
NITROXOLINE,-6.945,R4,16,-1.0706684659753127,L4_BiotinLike
Homobiotin,-6.944,R1-R3,8,-0.9946499108205263,L4_BiotinLike
SULFAPYRIDINE,-6.921,R4,16,-1.0518018645253087,L4_BiotinLike
METHARBITAL,-6.921,R5-FDA,16,-1.0508818169279008,L4_BiotinLike
Desthiobiotin,-6.914,R1-R3,8,-0.9729746284183651,L4_BiotinLike
MESALAMINE,-6.888,R5-FDA,16,-1.0353350738915317,L4_BiotinLike
TEGAFUR,-6.887,R4,16,-1.0250741791378026,L4_BiotinLike
BENZOYL PEROXIDE,-6.885,R4,16,-1.0235019623503023,L4_BiotinLike
ATOMOXETINE,-6.883,R4,16,-1.0219297455628022,L4_BiotinLike
LACOSAMIDE,-6.879,R5-FDA,16,-1.0310950530634309,L4_BiotinLike
L-Tryptophan,-6.876,R1-R3,8,-0.9455192707089615,L4_BiotinLike
Biotin_Sulfoxide,-6.868,R1-R3,8,-0.9397391954017185,L4_BiotinLike
ZONISAMIDE,-6.866,R4,16,-1.0085659028690492,L4_BiotinLike
TRYPTOPHAN,-6.865,R4,16,-1.0077797944752995,L4_BiotinLike
CARBARIL,-6.854,R4,16,-0.9991326021440475,L4_BiotinLike
MENADIONE,-6.826,R4,16,-0.9771215671190426,L4_BiotinLike
TROPICAMIDE,-6.826,R4,16,-0.9771215671190426,L4_BiotinLike
SULFACETAMIDE,-6.818,R5-FDA,16,-1.0023571341174153,L4_BiotinLike
BIOTIN,-6.816,R4,16,-0.9692604831815411,L4_BiotinLike
HYDROCODONE,-6.8,R5-FDA,16,-0.993877092461214,L4_BiotinLike
BENZYL BENZOATE,-6.8,R4,16,-0.9566827488815385,L4_BiotinLike
METYROSINE,-6.794,R5-FDA,16,-0.9910504119091468,L4_BiotinLike
LOFEXIDINE,-6.783,R4,16,-0.9433189061877861,L4_BiotinLike
DEXIBUPROFEN,-6.778,R5-FDA,16,-0.9835125971036345,L4_BiotinLike
SOLRIAMFETOL,-6.763,R4,16,-0.9275967383127824,L4_BiotinLike
Biotin,-6.762,R1-R3,8,-0.8631531975807487,L4_BiotinLike
MEBUTAMATE,-6.76,R5-FDA,16,-0.9750325554474333,L4_BiotinLike
Flufenamic_Acid,-6.741,R1-R3,8,-0.8479804998992361,L5_Weak
Norbiotin,-6.739,R1-R3,8,-0.8465354810724255,L5_Weak
MONOBENZONE,-6.736,R4,16,-0.9063718116815279,L5_Weak
SULFADIAZINE,-6.731,R4,16,-0.9024412697127772,L5_Weak
METHYLDOPA,-6.723,R5-FDA,16,-0.9576013587096862,L5_Weak
